data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2020-07-01;2021;RREO;3;SE;2800308;664908;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);203348978.73;7;4;280030;sim;Aracaju;28
2020-08-01;2021;RREO;3;SE;2800308;664908;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);155957634.98;8;4;280030;sim;Aracaju;28
2020-09-01;2021;RREO;3;SE;2800308;664908;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);168582277.21;9;5;280030;sim;Aracaju;28
2020-10-01;2021;RREO;3;SE;2800308;664908;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);152257546.7;10;5;280030;sim;Aracaju;28
2020-11-01;2021;RREO;3;SE;2800308;664908;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);148468781.33;11;6;280030;sim;Aracaju;28
2020-12-01;2021;RREO;3;SE;2800308;664908;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);214869975.69;12;6;280030;sim;Aracaju;28
2021-01-01;2021;RREO;3;SE;2800308;664908;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);241100790.0;1;1;280030;sim;Aracaju;28
2021-02-01;2021;RREO;3;SE;2800308;664908;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);183412423.99;2;1;280030;sim;Aracaju;28
2021-03-01;2021;RREO;3;SE;2800308;664908;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);177037196.91;3;2;280030;sim;Aracaju;28
2021-04-01;2021;RREO;3;SE;2800308;664908;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);163070654.01;4;2;280030;sim;Aracaju;28
2021-05-01;2021;RREO;3;SE;2800308;664908;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);164699463.86;5;3;280030;sim;Aracaju;28
2021-06-01;2021;RREO;3;SE;2800308;664908;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);166080542.02;6;3;280030;sim;Aracaju;28
2020-07-01;2021;RREO;3;SE;2800308;664908;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;46825035.15;7;4;280030;sim;Aracaju;28
2020-08-01;2021;RREO;3;SE;2800308;664908;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;47049661.08;8;4;280030;sim;Aracaju;28
2020-09-01;2021;RREO;3;SE;2800308;664908;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;48203714.7;9;5;280030;sim;Aracaju;28
2020-10-01;2021;RREO;3;SE;2800308;664908;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;44411727.11;10;5;280030;sim;Aracaju;28
2020-11-01;2021;RREO;3;SE;2800308;664908;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;48707324.21;11;6;280030;sim;Aracaju;28
2020-12-01;2021;RREO;3;SE;2800308;664908;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;62126605.95;12;6;280030;sim;Aracaju;28
2021-01-01;2021;RREO;3;SE;2800308;664908;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;129559201.78;1;1;280030;sim;Aracaju;28
2021-02-01;2021;RREO;3;SE;2800308;664908;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;60017762.03;2;1;280030;sim;Aracaju;28
2021-03-01;2021;RREO;3;SE;2800308;664908;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;64544238.35;3;2;280030;sim;Aracaju;28
2021-04-01;2021;RREO;3;SE;2800308;664908;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;55952787.96;4;2;280030;sim;Aracaju;28
2021-05-01;2021;RREO;3;SE;2800308;664908;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;55594583.56;5;3;280030;sim;Aracaju;28
2021-06-01;2021;RREO;3;SE;2800308;664908;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;56032255.98;6;3;280030;sim;Aracaju;28
2020-07-01;2021;RREO;3;SE;2800308;664908;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;14620902.87;7;4;280030;sim;Aracaju;28
2020-08-01;2021;RREO;3;SE;2800308;664908;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13023326.08;8;4;280030;sim;Aracaju;28
2020-09-01;2021;RREO;3;SE;2800308;664908;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;12984081.13;9;5;280030;sim;Aracaju;28
2020-10-01;2021;RREO;3;SE;2800308;664908;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;9226249.37;10;5;280030;sim;Aracaju;28
2020-11-01;2021;RREO;3;SE;2800308;664908;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;12842659.08;11;6;280030;sim;Aracaju;28
2020-12-01;2021;RREO;3;SE;2800308;664908;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;8522611.06;12;6;280030;sim;Aracaju;28
2021-01-01;2021;RREO;3;SE;2800308;664908;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;95910460.11;1;1;280030;sim;Aracaju;28
2021-02-01;2021;RREO;3;SE;2800308;664908;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;24522454.34;2;1;280030;sim;Aracaju;28
2021-03-01;2021;RREO;3;SE;2800308;664908;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;22440053.89;3;2;280030;sim;Aracaju;28
2021-04-01;2021;RREO;3;SE;2800308;664908;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;20546216.42;4;2;280030;sim;Aracaju;28
2021-05-01;2021;RREO;3;SE;2800308;664908;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;20623037.49;5;3;280030;sim;Aracaju;28
2021-06-01;2021;RREO;3;SE;2800308;664908;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;18174061.75;6;3;280030;sim;Aracaju;28
2020-07-01;2021;RREO;3;SE;2800308;664908;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;22689830.51;7;4;280030;sim;Aracaju;28
2020-08-01;2021;RREO;3;SE;2800308;664908;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;23998473.26;8;4;280030;sim;Aracaju;28
2020-09-01;2021;RREO;3;SE;2800308;664908;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;23773973.79;9;5;280030;sim;Aracaju;28
