data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-09-01;RREO;SE;2800308;672614;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);187938814.35;9;2021;5;280030;sim;Aracaju;28
2021-10-01;RREO;SE;2800308;672614;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);160994387.38;10;2021;5;280030;sim;Aracaju;28
2021-11-01;RREO;SE;2800308;672614;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);169238945.44;11;2021;6;280030;sim;Aracaju;28
2021-12-01;RREO;SE;2800308;672614;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);216147796.02;12;2021;6;280030;sim;Aracaju;28
2022-01-01;RREO;SE;2800308;672614;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);250715391.17;1;2022;1;280030;sim;Aracaju;28
2022-02-01;RREO;SE;2800308;672614;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);217997861.17;2;2022;1;280030;sim;Aracaju;28
2022-03-01;RREO;SE;2800308;672614;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);208411368.87;3;2022;2;280030;sim;Aracaju;28
2022-04-01;RREO;SE;2800308;672614;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);199841584.04;4;2022;2;280030;sim;Aracaju;28
2022-05-01;RREO;SE;2800308;672614;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);241739088.78;5;2022;3;280030;sim;Aracaju;28
2022-06-01;RREO;SE;2800308;672614;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);212765793.79;6;2022;3;280030;sim;Aracaju;28
2022-07-01;RREO;SE;2800308;672614;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);207857318.84;7;2022;4;280030;sim;Aracaju;28
2022-08-01;RREO;SE;2800308;672614;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);215457177.2;8;2022;4;280030;sim;Aracaju;28
