data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2019-03-01;2020;RREO;1;MG;3106200;2512070;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);837604882.13;3;2;310620;sim;Belo Horizonte;31
2019-04-01;2020;RREO;1;MG;3106200;2512070;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);992112288.96;4;2;310620;sim;Belo Horizonte;31
2019-05-01;2020;RREO;1;MG;3106200;2512070;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);837920221.94;5;3;310620;sim;Belo Horizonte;31
2019-06-01;2020;RREO;1;MG;3106200;2512070;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);768368244.4;6;3;310620;sim;Belo Horizonte;31
2019-07-01;2020;RREO;1;MG;3106200;2512070;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);875397282.28;7;4;310620;sim;Belo Horizonte;31
2019-08-01;2020;RREO;1;MG;3106200;2512070;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);741605578.16;8;4;310620;sim;Belo Horizonte;31
2019-09-01;2020;RREO;1;MG;3106200;2512070;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);768797995.34;9;5;310620;sim;Belo Horizonte;31
2019-10-01;2020;RREO;1;MG;3106200;2512070;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);782046122.31;10;5;310620;sim;Belo Horizonte;31
2019-11-01;2020;RREO;1;MG;3106200;2512070;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);764594368.37;11;6;310620;sim;Belo Horizonte;31
2019-12-01;2020;RREO;1;MG;3106200;2512070;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1185505961.54;12;6;310620;sim;Belo Horizonte;31
2020-01-01;2020;RREO;1;MG;3106200;2512070;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1941989099.83;1;1;310620;sim;Belo Horizonte;31
2020-02-01;2020;RREO;1;MG;3106200;2512070;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);960956160.36;2;1;310620;sim;Belo Horizonte;31
2019-03-01;2020;RREO;1;MG;3106200;2512070;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;265064756.95;3;2;310620;sim;Belo Horizonte;31
2019-04-01;2020;RREO;1;MG;3106200;2512070;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;303887289.89;4;2;310620;sim;Belo Horizonte;31
2019-05-01;2020;RREO;1;MG;3106200;2512070;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;316335005.9;5;3;310620;sim;Belo Horizonte;31
2019-06-01;2020;RREO;1;MG;3106200;2512070;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;286680974.83;6;3;310620;sim;Belo Horizonte;31
2019-07-01;2020;RREO;1;MG;3106200;2512070;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;320195023.1;7;4;310620;sim;Belo Horizonte;31
