data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-07-01;2022;RREO;3;MG;3106200;2530701;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1014251900.88;7;4;310620;sim;Belo Horizonte;31
2021-08-01;2022;RREO;3;MG;3106200;2530701;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1098381455.47;8;4;310620;sim;Belo Horizonte;31
2021-09-01;2022;RREO;3;MG;3106200;2530701;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1063435890.98;9;5;310620;sim;Belo Horizonte;31
2021-10-01;2022;RREO;3;MG;3106200;2530701;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1055877847.94;10;5;310620;sim;Belo Horizonte;31
2021-11-01;2022;RREO;3;MG;3106200;2530701;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);990480907.76;11;6;310620;sim;Belo Horizonte;31
2021-12-01;2022;RREO;3;MG;3106200;2530701;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1636549669.45;12;6;310620;sim;Belo Horizonte;31
2022-01-01;2022;RREO;3;MG;3106200;2530701;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1888372758.68;1;1;310620;sim;Belo Horizonte;31
2022-02-01;2022;RREO;3;MG;3106200;2530701;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1137421467.2;2;1;310620;sim;Belo Horizonte;31
2022-03-01;2022;RREO;3;MG;3106200;2530701;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1467643164.09;3;2;310620;sim;Belo Horizonte;31
2022-04-01;2022;RREO;3;MG;3106200;2530701;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1088102877.44;4;2;310620;sim;Belo Horizonte;31
2022-05-01;2022;RREO;3;MG;3106200;2530701;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1319823449.72;5;3;310620;sim;Belo Horizonte;31
2022-06-01;2022;RREO;3;MG;3106200;2530701;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1150695555.76;6;3;310620;sim;Belo Horizonte;31
2021-07-01;2022;RREO;3;MG;3106200;2530701;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;373001483.64;7;4;310620;sim;Belo Horizonte;31
2021-08-01;2022;RREO;3;MG;3106200;2530701;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;361181014.78;8;4;310620;sim;Belo Horizonte;31
2021-09-01;2022;RREO;3;MG;3106200;2530701;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;352958024.91;9;5;310620;sim;Belo Horizonte;31
2021-10-01;2022;RREO;3;MG;3106200;2530701;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;405788830.27;10;5;310620;sim;Belo Horizonte;31
2021-11-01;2022;RREO;3;MG;3106200;2530701;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;368268901.81;11;6;310620;sim;Belo Horizonte;31
2021-12-01;2022;RREO;3;MG;3106200;2530701;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;512521283.49;12;6;310620;sim;Belo Horizonte;31
2022-01-01;2022;RREO;3;MG;3106200;2530701;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1237496906.33;1;1;310620;sim;Belo Horizonte;31
2022-02-01;2022;RREO;3;MG;3106200;2530701;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;327981529.13;2;1;310620;sim;Belo Horizonte;31
2022-03-01;2022;RREO;3;MG;3106200;2530701;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;358613544.23;3;2;310620;sim;Belo Horizonte;31
2022-04-01;2022;RREO;3;MG;3106200;2530701;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;355384887.6;4;2;310620;sim;Belo Horizonte;31
2022-05-01;2022;RREO;3;MG;3106200;2530701;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;405813965.45;5;3;310620;sim;Belo Horizonte;31
2022-06-01;2022;RREO;3;MG;3106200;2530701;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;387822121.66;6;3;310620;sim;Belo Horizonte;31
2021-07-01;2022;RREO;3;MG;3106200;2530701;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;90567736.53;7;4;310620;sim;Belo Horizonte;31
2021-08-01;2022;RREO;3;MG;3106200;2530701;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;85793498.31;8;4;310620;sim;Belo Horizonte;31
2021-09-01;2022;RREO;3;MG;3106200;2530701;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;76688531.34;9;5;310620;sim;Belo Horizonte;31
2021-10-01;2022;RREO;3;MG;3106200;2530701;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;92995299.57;10;5;310620;sim;Belo Horizonte;31
2021-11-01;2022;RREO;3;MG;3106200;2530701;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;85793827.59;11;6;310620;sim;Belo Horizonte;31
2021-12-01;2022;RREO;3;MG;3106200;2530701;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;116100828.85;12;6;310620;sim;Belo Horizonte;31
2022-01-01;2022;RREO;3;MG;3106200;2530701;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;798235589.0;1;1;310620;sim;Belo Horizonte;31
2022-02-01;2022;RREO;3;MG;3106200;2530701;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;80951831.98;2;1;310620;sim;Belo Horizonte;31
2022-03-01;2022;RREO;3;MG;3106200;2530701;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;86943797.2;3;2;310620;sim;Belo Horizonte;31
