data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-03-01;RREO;MG;3106200;2530701;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1467643164.09;3;2022;2;310620;sim;Belo Horizonte;31
2022-04-01;RREO;MG;3106200;2530701;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1088102877.44;4;2022;2;310620;sim;Belo Horizonte;31
2022-05-01;RREO;MG;3106200;2530701;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1319823449.72;5;2022;3;310620;sim;Belo Horizonte;31
2022-06-01;RREO;MG;3106200;2530701;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1150695555.76;6;2022;3;310620;sim;Belo Horizonte;31
2022-07-01;RREO;MG;3106200;2530701;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1070126267.51;7;2022;4;310620;sim;Belo Horizonte;31
2022-08-01;RREO;MG;3106200;2530701;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);986312977.92;8;2022;4;310620;sim;Belo Horizonte;31
2022-09-01;RREO;MG;3106200;2530701;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1075591821.89;9;2022;5;310620;sim;Belo Horizonte;31
2022-10-01;RREO;MG;3106200;2530701;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1000025860.03;10;2022;5;310620;sim;Belo Horizonte;31
2022-11-01;RREO;MG;3106200;2530701;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1061324079.21;11;2022;6;310620;sim;Belo Horizonte;31
2022-12-01;RREO;MG;3106200;2530701;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1545507428.14;12;2022;6;310620;sim;Belo Horizonte;31
2023-01-01;RREO;MG;3106200;2530701;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2095134705.53;1;2023;1;310620;sim;Belo Horizonte;31
2023-02-01;RREO;MG;3106200;2530701;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1173154589.99;2;2023;1;310620;sim;Belo Horizonte;31
2022-03-01;RREO;MG;3106200;2530701;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;358613544.23;3;2022;2;310620;sim;Belo Horizonte;31
2022-04-01;RREO;MG;3106200;2530701;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;355384887.6;4;2022;2;310620;sim;Belo Horizonte;31
2022-05-01;RREO;MG;3106200;2530701;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;405813965.45;5;2022;3;310620;sim;Belo Horizonte;31
2022-06-01;RREO;MG;3106200;2530701;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;387822121.66;6;2022;3;310620;sim;Belo Horizonte;31
2022-07-01;RREO;MG;3106200;2530701;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;404314837.5;7;2022;4;310620;sim;Belo Horizonte;31
2022-08-01;RREO;MG;3106200;2530701;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;383681821.46;8;2022;4;310620;sim;Belo Horizonte;31
2022-09-01;RREO;MG;3106200;2530701;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;389645756.1;9;2022;5;310620;sim;Belo Horizonte;31
2022-10-01;RREO;MG;3106200;2530701;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;390361080.41;10;2022;5;310620;sim;Belo Horizonte;31
2022-11-01;RREO;MG;3106200;2530701;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;396317908.28;11;2022;6;310620;sim;Belo Horizonte;31
2022-12-01;RREO;MG;3106200;2530701;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;555034673.1;12;2022;6;310620;sim;Belo Horizonte;31
2023-01-01;RREO;MG;3106200;2530701;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1256922212.73;1;2023;1;310620;sim;Belo Horizonte;31
2023-02-01;RREO;MG;3106200;2530701;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;383300200.23;2;2023;1;310620;sim;Belo Horizonte;31
2022-03-01;RREO;MG;3106200;2530701;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;86943797.2;3;2022;2;310620;sim;Belo Horizonte;31
2022-04-01;RREO;MG;3106200;2530701;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;79552349.9;4;2022;2;310620;sim;Belo Horizonte;31
