data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-07-01;2022;RREO;3;PA;1501402;1506420;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);309045083.99;7;4;150140;sim;Belém;15
2021-08-01;2022;RREO;3;PA;1501402;1506420;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);288058257.38;8;4;150140;sim;Belém;15
2021-09-01;2022;RREO;3;PA;1501402;1506420;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);303209891.73;9;5;150140;sim;Belém;15
2021-10-01;2022;RREO;3;PA;1501402;1506420;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);285044363.43;10;5;150140;sim;Belém;15
2021-11-01;2022;RREO;3;PA;1501402;1506420;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);337821890.88;11;6;150140;sim;Belém;15
2021-12-01;2022;RREO;3;PA;1501402;1506420;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);390482756.83;12;6;150140;sim;Belém;15
2022-01-01;2022;RREO;3;PA;1501402;1506420;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);310755083.6;1;1;150140;sim;Belém;15
2022-02-01;2022;RREO;3;PA;1501402;1506420;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);455712234.9;2;1;150140;sim;Belém;15
2022-03-01;2022;RREO;3;PA;1501402;1506420;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);323266481.46;3;2;150140;sim;Belém;15
2022-04-01;2022;RREO;3;PA;1501402;1506420;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);330435583.79;4;2;150140;sim;Belém;15
2022-05-01;2022;RREO;3;PA;1501402;1506420;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);366856112.37;5;3;150140;sim;Belém;15
2022-06-01;2022;RREO;3;PA;1501402;1506420;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);354867795.57;6;3;150140;sim;Belém;15
2021-07-01;2022;RREO;3;PA;1501402;1506420;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;78350214.84;7;4;150140;sim;Belém;15
2021-08-01;2022;RREO;3;PA;1501402;1506420;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;73771199.1;8;4;150140;sim;Belém;15
2021-09-01;2022;RREO;3;PA;1501402;1506420;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;81278043.23;9;5;150140;sim;Belém;15
2021-10-01;2022;RREO;3;PA;1501402;1506420;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;74159086.45;10;5;150140;sim;Belém;15
2021-11-01;2022;RREO;3;PA;1501402;1506420;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;78957500.94;11;6;150140;sim;Belém;15
2021-12-01;2022;RREO;3;PA;1501402;1506420;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;98444889.13;12;6;150140;sim;Belém;15
2022-01-01;2022;RREO;3;PA;1501402;1506420;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;79432346.13;1;1;150140;sim;Belém;15
2022-02-01;2022;RREO;3;PA;1501402;1506420;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;173457418.41;2;1;150140;sim;Belém;15
2022-03-01;2022;RREO;3;PA;1501402;1506420;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;102484024.51;3;2;150140;sim;Belém;15
2022-04-01;2022;RREO;3;PA;1501402;1506420;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;94439925.02;4;2;150140;sim;Belém;15
2022-05-01;2022;RREO;3;PA;1501402;1506420;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;87268082.45;5;3;150140;sim;Belém;15
2022-06-01;2022;RREO;3;PA;1501402;1506420;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;89378973.55;6;3;150140;sim;Belém;15
2021-07-01;2022;RREO;3;PA;1501402;1506420;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13458666.55;7;4;150140;sim;Belém;15
2021-08-01;2022;RREO;3;PA;1501402;1506420;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;12386672.52;8;4;150140;sim;Belém;15
2021-09-01;2022;RREO;3;PA;1501402;1506420;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;11612682.53;9;5;150140;sim;Belém;15
2021-10-01;2022;RREO;3;PA;1501402;1506420;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;11306532.1;10;5;150140;sim;Belém;15
2021-11-01;2022;RREO;3;PA;1501402;1506420;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;12776991.98;11;6;150140;sim;Belém;15
2021-12-01;2022;RREO;3;PA;1501402;1506420;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;15732402.79;12;6;150140;sim;Belém;15
2022-01-01;2022;RREO;3;PA;1501402;1506420;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13768573.21;1;1;150140;sim;Belém;15
2022-02-01;2022;RREO;3;PA;1501402;1506420;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;82261696.18;2;1;150140;sim;Belém;15
2022-03-01;2022;RREO;3;PA;1501402;1506420;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;25874302.23;3;2;150140;sim;Belém;15
2022-04-01;2022;RREO;3;PA;1501402;1506420;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13501652.23;4;2;150140;sim;Belém;15
2022-05-01;2022;RREO;3;PA;1501402;1506420;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;15310698.25;5;3;150140;sim;Belém;15
2022-06-01;2022;RREO;3;PA;1501402;1506420;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;15090236.11;6;3;150140;sim;Belém;15
2021-07-01;2022;RREO;3;PA;1501402;1506420;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;44351195.35;7;4;150140;sim;Belém;15
2021-08-01;2022;RREO;3;PA;1501402;1506420;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;42536522.36;8;4;150140;sim;Belém;15
2021-09-01;2022;RREO;3;PA;1501402;1506420;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;46140784.79;9;5;150140;sim;Belém;15
2021-10-01;2022;RREO;3;PA;1501402;1506420;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;43821646.05;10;5;150140;sim;Belém;15
2021-11-01;2022;RREO;3;PA;1501402;1506420;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;47697715.92;11;6;150140;sim;Belém;15
2021-12-01;2022;RREO;3;PA;1501402;1506420;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;54779097.16;12;6;150140;sim;Belém;15
2022-01-01;2022;RREO;3;PA;1501402;1506420;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;47796584.47;1;1;150140;sim;Belém;15
2022-02-01;2022;RREO;3;PA;1501402;1506420;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;40782503.54;2;1;150140;sim;Belém;15
2022-03-01;2022;RREO;3;PA;1501402;1506420;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;44575168.6;3;2;150140;sim;Belém;15
2022-04-01;2022;RREO;3;PA;1501402;1506420;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;49107205.99;4;2;150140;sim;Belém;15
2022-05-01;2022;RREO;3;PA;1501402;1506420;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;47907092.14;5;3;150140;sim;Belém;15
2022-06-01;2022;RREO;3;PA;1501402;1506420;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;49716815.7;6;3;150140;sim;Belém;15
2021-07-01;2022;RREO;3;PA;1501402;1506420;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3749396.96;7;4;150140;sim;Belém;15
2021-08-01;2022;RREO;3;PA;1501402;1506420;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4050744.2;8;4;150140;sim;Belém;15
2021-09-01;2022;RREO;3;PA;1501402;1506420;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4463254.69;9;5;150140;sim;Belém;15
2021-10-01;2022;RREO;3;PA;1501402;1506420;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3619342.09;10;5;150140;sim;Belém;15
2021-11-01;2022;RREO;3;PA;1501402;1506420;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3643455.92;11;6;150140;sim;Belém;15
