data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-11-01;RREO;PA;1501402;1506420;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);337821890.88;11;2021;6;150140;sim;Belém;15
2021-12-01;RREO;PA;1501402;1506420;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);390482756.83;12;2021;6;150140;sim;Belém;15
2022-01-01;RREO;PA;1501402;1506420;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);310755083.6;1;2022;1;150140;sim;Belém;15
2022-02-01;RREO;PA;1501402;1506420;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);455712234.9;2;2022;1;150140;sim;Belém;15
2022-03-01;RREO;PA;1501402;1506420;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);323266481.46;3;2022;2;150140;sim;Belém;15
2022-04-01;RREO;PA;1501402;1506420;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);330435583.79;4;2022;2;150140;sim;Belém;15
2022-05-01;RREO;PA;1501402;1506420;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);366856112.37;5;2022;3;150140;sim;Belém;15
2022-06-01;RREO;PA;1501402;1506420;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);354867795.57;6;2022;3;150140;sim;Belém;15
2022-07-01;RREO;PA;1501402;1506420;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);335005434.21;7;2022;4;150140;sim;Belém;15
2022-08-01;RREO;PA;1501402;1506420;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);315705618.4;8;2022;4;150140;sim;Belém;15
2022-09-01;RREO;PA;1501402;1506420;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);331305801.12;9;2022;5;150140;sim;Belém;15
2022-10-01;RREO;PA;1501402;1506420;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);345132236.77;10;2022;5;150140;sim;Belém;15
2021-11-01;RREO;PA;1501402;1506420;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;78957500.94;11;2021;6;150140;sim;Belém;15
2021-12-01;RREO;PA;1501402;1506420;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;98444889.13;12;2021;6;150140;sim;Belém;15
2022-01-01;RREO;PA;1501402;1506420;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;79432346.13;1;2022;1;150140;sim;Belém;15
2022-02-01;RREO;PA;1501402;1506420;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;173457418.41;2;2022;1;150140;sim;Belém;15
2022-03-01;RREO;PA;1501402;1506420;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;102484024.51;3;2022;2;150140;sim;Belém;15
2022-04-01;RREO;PA;1501402;1506420;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;94439925.02;4;2022;2;150140;sim;Belém;15
2022-05-01;RREO;PA;1501402;1506420;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;87268082.45;5;2022;3;150140;sim;Belém;15
2022-06-01;RREO;PA;1501402;1506420;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;89378973.55;6;2022;3;150140;sim;Belém;15
2022-07-01;RREO;PA;1501402;1506420;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;89016267.49;7;2022;4;150140;sim;Belém;15
2022-08-01;RREO;PA;1501402;1506420;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;97988124.97;8;2022;4;150140;sim;Belém;15
2022-09-01;RREO;PA;1501402;1506420;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;96914804.03;9;2022;5;150140;sim;Belém;15
2022-10-01;RREO;PA;1501402;1506420;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;91235063.33;10;2022;5;150140;sim;Belém;15
2021-11-01;RREO;PA;1501402;1506420;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;12776991.98;11;2021;6;150140;sim;Belém;15
2021-12-01;RREO;PA;1501402;1506420;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;15732402.79;12;2021;6;150140;sim;Belém;15
2022-01-01;RREO;PA;1501402;1506420;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13768573.21;1;2022;1;150140;sim;Belém;15
2022-02-01;RREO;PA;1501402;1506420;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;82261696.18;2;2022;1;150140;sim;Belém;15
2022-03-01;RREO;PA;1501402;1506420;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;25874302.23;3;2022;2;150140;sim;Belém;15
2022-04-01;RREO;PA;1501402;1506420;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13501652.23;4;2022;2;150140;sim;Belém;15
