data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2015-03-01;2016;RREO;1;RR;1400100;320714;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);69292346.04;3;2;140010;sim;Boa Vista;14
2015-04-01;2016;RREO;1;RR;1400100;320714;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);74954536.43;4;2;140010;sim;Boa Vista;14
2015-05-01;2016;RREO;1;RR;1400100;320714;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);82544565.52;5;3;140010;sim;Boa Vista;14
2015-06-01;2016;RREO;1;RR;1400100;320714;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);78173725.32;6;3;140010;sim;Boa Vista;14
2015-07-01;2016;RREO;1;RR;1400100;320714;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);69205066.43;7;4;140010;sim;Boa Vista;14
2015-08-01;2016;RREO;1;RR;1400100;320714;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);69328815.17;8;4;140010;sim;Boa Vista;14
2015-09-01;2016;RREO;1;RR;1400100;320714;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);57002750.43;9;5;140010;sim;Boa Vista;14
2015-10-01;2016;RREO;1;RR;1400100;320714;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);70047157.54;10;5;140010;sim;Boa Vista;14
2015-11-01;2016;RREO;1;RR;1400100;320714;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);66728529.08;11;6;140010;sim;Boa Vista;14
2015-12-01;2016;RREO;1;RR;1400100;320714;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);90049869.65;12;6;140010;sim;Boa Vista;14
2016-01-01;2016;RREO;1;RR;1400100;320714;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);79104942.19;1;1;140010;sim;Boa Vista;14
2016-02-01;2016;RREO;1;RR;1400100;320714;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);83530350.17;2;1;140010;sim;Boa Vista;14
2015-03-01;2016;RREO;1;RR;1400100;320714;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;8266832.53;3;2;140010;sim;Boa Vista;14
2015-04-01;2016;RREO;1;RR;1400100;320714;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;8842536.68;4;2;140010;sim;Boa Vista;14
2015-05-01;2016;RREO;1;RR;1400100;320714;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;6856049.47;5;3;140010;sim;Boa Vista;14
2015-06-01;2016;RREO;1;RR;1400100;320714;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;15624702.65;6;3;140010;sim;Boa Vista;14
2015-07-01;2016;RREO;1;RR;1400100;320714;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;8813770.38;7;4;140010;sim;Boa Vista;14
2015-08-01;2016;RREO;1;RR;1400100;320714;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;8287926.52;8;4;140010;sim;Boa Vista;14
2015-09-01;2016;RREO;1;RR;1400100;320714;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;8881354.26;9;5;140010;sim;Boa Vista;14
2015-10-01;2016;RREO;1;RR;1400100;320714;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;7779300.34;10;5;140010;sim;Boa Vista;14
