data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-01-01;RREO;RR;1400100;436591;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);153942138.57;1;2022;1;140010;sim;Boa Vista;14
2022-02-01;RREO;RR;1400100;436591;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);178546735.86;2;2022;1;140010;sim;Boa Vista;14
2022-03-01;RREO;RR;1400100;436591;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);181337603.82;3;2022;2;140010;sim;Boa Vista;14
2022-04-01;RREO;RR;1400100;436591;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);149551920.78;4;2022;2;140010;sim;Boa Vista;14
2022-05-01;RREO;RR;1400100;436591;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);175834263.13;5;2022;3;140010;sim;Boa Vista;14
2022-06-01;RREO;RR;1400100;436591;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);215000978.77;6;2022;3;140010;sim;Boa Vista;14
2022-07-01;RREO;RR;1400100;436591;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);185156755.16;7;2022;4;140010;sim;Boa Vista;14
2022-08-01;RREO;RR;1400100;436591;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);171373768.1;8;2022;4;140010;sim;Boa Vista;14
2022-09-01;RREO;RR;1400100;436591;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);180317033.24;9;2022;5;140010;sim;Boa Vista;14
2022-10-01;RREO;RR;1400100;436591;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);164847101.26;10;2022;5;140010;sim;Boa Vista;14
2022-11-01;RREO;RR;1400100;436591;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);163027365.85;11;2022;6;140010;sim;Boa Vista;14
2022-12-01;RREO;RR;1400100;436591;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);223425327.11;12;2022;6;140010;sim;Boa Vista;14
2022-01-01;RREO;RR;1400100;436591;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;14200275.15;1;2022;1;140010;sim;Boa Vista;14
2022-02-01;RREO;RR;1400100;436591;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;17981049.95;2;2022;1;140010;sim;Boa Vista;14
2022-03-01;RREO;RR;1400100;436591;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;21933638.23;3;2022;2;140010;sim;Boa Vista;14
2022-04-01;RREO;RR;1400100;436591;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;16474920.19;4;2022;2;140010;sim;Boa Vista;14
2022-05-01;RREO;RR;1400100;436591;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;21747793.1;5;2022;3;140010;sim;Boa Vista;14
2022-06-01;RREO;RR;1400100;436591;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;34529096.16;6;2022;3;140010;sim;Boa Vista;14
2022-07-01;RREO;RR;1400100;436591;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;20287802.54;7;2022;4;140010;sim;Boa Vista;14
2022-08-01;RREO;RR;1400100;436591;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;23754557.03;8;2022;4;140010;sim;Boa Vista;14
2022-09-01;RREO;RR;1400100;436591;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;24837535.69;9;2022;5;140010;sim;Boa Vista;14
