data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2018-09-01;2019;RREO;4;MS;5002704;885711;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);234393221.68;9;5;500270;sim;Campo Grande;50
2018-10-01;2019;RREO;4;MS;5002704;885711;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);276689884.13;10;5;500270;sim;Campo Grande;50
2018-11-01;2019;RREO;4;MS;5002704;885711;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);292591427.88;11;6;500270;sim;Campo Grande;50
2018-12-01;2019;RREO;4;MS;5002704;885711;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);385175998.42;12;6;500270;sim;Campo Grande;50
2019-01-01;2019;RREO;4;MS;5002704;885711;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);441378213.28;1;1;500270;sim;Campo Grande;50
2019-02-01;2019;RREO;4;MS;5002704;885711;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);345648753.94;2;1;500270;sim;Campo Grande;50
2019-03-01;2019;RREO;4;MS;5002704;885711;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);245563583.82;3;2;500270;sim;Campo Grande;50
2019-04-01;2019;RREO;4;MS;5002704;885711;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);276141495.66;4;2;500270;sim;Campo Grande;50
2019-05-01;2019;RREO;4;MS;5002704;885711;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);268319762.41;5;3;500270;sim;Campo Grande;50
2019-06-01;2019;RREO;4;MS;5002704;885711;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);241517780.31;6;3;500270;sim;Campo Grande;50
2019-07-01;2019;RREO;4;MS;5002704;885711;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);297008716.29;7;4;500270;sim;Campo Grande;50
2019-08-01;2019;RREO;4;MS;5002704;885711;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);287348964.1;8;4;500270;sim;Campo Grande;50
2018-09-01;2019;RREO;4;MS;5002704;885711;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;73288440.48;9;5;500270;sim;Campo Grande;50
2018-10-01;2019;RREO;4;MS;5002704;885711;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;89211765.79;10;5;500270;sim;Campo Grande;50
2018-11-01;2019;RREO;4;MS;5002704;885711;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;65234756.03;11;6;500270;sim;Campo Grande;50
2018-12-01;2019;RREO;4;MS;5002704;885711;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;131577250.86;12;6;500270;sim;Campo Grande;50
2019-01-01;2019;RREO;4;MS;5002704;885711;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;250080530.67;1;1;500270;sim;Campo Grande;50
2019-02-01;2019;RREO;4;MS;5002704;885711;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;90258053.75;2;1;500270;sim;Campo Grande;50
2019-03-01;2019;RREO;4;MS;5002704;885711;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;65316876.32;3;2;500270;sim;Campo Grande;50
2019-04-01;2019;RREO;4;MS;5002704;885711;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;67763625.88;4;2;500270;sim;Campo Grande;50
2019-05-01;2019;RREO;4;MS;5002704;885711;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;65850305.35;5;3;500270;sim;Campo Grande;50
2019-06-01;2019;RREO;4;MS;5002704;885711;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;61539808.76;6;3;500270;sim;Campo Grande;50
2019-07-01;2019;RREO;4;MS;5002704;885711;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;73568145.38;7;4;500270;sim;Campo Grande;50
2019-08-01;2019;RREO;4;MS;5002704;885711;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;89045701.66;8;4;500270;sim;Campo Grande;50
2018-09-01;2019;RREO;4;MS;5002704;885711;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;25269697.41;9;5;500270;sim;Campo Grande;50
2018-10-01;2019;RREO;4;MS;5002704;885711;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;34164713.44;10;5;500270;sim;Campo Grande;50
2018-11-01;2019;RREO;4;MS;5002704;885711;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;16222952.64;11;6;500270;sim;Campo Grande;50
2018-12-01;2019;RREO;4;MS;5002704;885711;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;54887481.09;12;6;500270;sim;Campo Grande;50
2019-01-01;2019;RREO;4;MS;5002704;885711;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;188929096.4;1;1;500270;sim;Campo Grande;50
2019-02-01;2019;RREO;4;MS;5002704;885711;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;34491506.24;2;1;500270;sim;Campo Grande;50
2019-03-01;2019;RREO;4;MS;5002704;885711;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;18484488.51;3;2;500270;sim;Campo Grande;50
2019-04-01;2019;RREO;4;MS;5002704;885711;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;18705821.9;4;2;500270;sim;Campo Grande;50
2019-05-01;2019;RREO;4;MS;5002704;885711;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;16509094.39;5;3;500270;sim;Campo Grande;50
2019-06-01;2019;RREO;4;MS;5002704;885711;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;14406580.9;6;3;500270;sim;Campo Grande;50
2019-07-01;2019;RREO;4;MS;5002704;885711;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;22587311.19;7;4;500270;sim;Campo Grande;50
2019-08-01;2019;RREO;4;MS;5002704;885711;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;36045585.7;8;4;500270;sim;Campo Grande;50
2018-09-01;2019;RREO;4;MS;5002704;885711;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27949985.2;9;5;500270;sim;Campo Grande;50
2018-10-01;2019;RREO;4;MS;5002704;885711;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;29334490.12;10;5;500270;sim;Campo Grande;50
2018-11-01;2019;RREO;4;MS;5002704;885711;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27040715.19;11;6;500270;sim;Campo Grande;50
2018-12-01;2019;RREO;4;MS;5002704;885711;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;35535658.83;12;6;500270;sim;Campo Grande;50
2019-01-01;2019;RREO;4;MS;5002704;885711;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;28810905.55;1;1;500270;sim;Campo Grande;50
2019-02-01;2019;RREO;4;MS;5002704;885711;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;26682358.55;2;1;500270;sim;Campo Grande;50
2019-03-01;2019;RREO;4;MS;5002704;885711;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;25253576.62;3;2;500270;sim;Campo Grande;50
2019-04-01;2019;RREO;4;MS;5002704;885711;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;26733002.76;4;2;500270;sim;Campo Grande;50
2019-05-01;2019;RREO;4;MS;5002704;885711;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27093028.6;5;3;500270;sim;Campo Grande;50
2019-06-01;2019;RREO;4;MS;5002704;885711;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;26209711.31;6;3;500270;sim;Campo Grande;50
2019-07-01;2019;RREO;4;MS;5002704;885711;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27796950.74;7;4;500270;sim;Campo Grande;50
2019-08-01;2019;RREO;4;MS;5002704;885711;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;30725271.31;8;4;500270;sim;Campo Grande;50
2018-09-01;2019;RREO;4;MS;5002704;885711;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4608481.34;9;5;500270;sim;Campo Grande;50
2018-10-01;2019;RREO;4;MS;5002704;885711;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;6551851.53;10;5;500270;sim;Campo Grande;50
2018-11-01;2019;RREO;4;MS;5002704;885711;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;6738832.53;11;6;500270;sim;Campo Grande;50
2018-12-01;2019;RREO;4;MS;5002704;885711;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;6050435.85;12;6;500270;sim;Campo Grande;50
2019-01-01;2019;RREO;4;MS;5002704;885711;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4620086.54;1;1;500270;sim;Campo Grande;50
2019-02-01;2019;RREO;4;MS;5002704;885711;<MR-6>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5361764.47;2;1;500270;sim;Campo Grande;50
2019-03-01;2019;RREO;4;MS;5002704;885711;<MR-5>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5273052.88;3;2;500270;sim;Campo Grande;50
2019-04-01;2019;RREO;4;MS;5002704;885711;<MR-4>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5163315.63;4;2;500270;sim;Campo Grande;50
2019-05-01;2019;RREO;4;MS;5002704;885711;<MR-3>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5195330.06;5;3;500270;sim;Campo Grande;50
2019-06-01;2019;RREO;4;MS;5002704;885711;<MR-2>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4439545.46;6;3;500270;sim;Campo Grande;50
2019-07-01;2019;RREO;4;MS;5002704;885711;<MR-1>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5825070.39;7;4;500270;sim;Campo Grande;50
2019-08-01;2019;RREO;4;MS;5002704;885711;<MR>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;6089168.36;8;4;500270;sim;Campo Grande;50
2018-09-01;2019;RREO;4;MS;5002704;885711;<MR-11>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13274594.62;9;5;500270;sim;Campo Grande;50
2018-10-01;2019;RREO;4;MS;5002704;885711;<MR-10>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;16768251.02;10;5;500270;sim;Campo Grande;50
2018-11-01;2019;RREO;4;MS;5002704;885711;<MR-9>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13437353.91;11;6;500270;sim;Campo Grande;50
2018-12-01;2019;RREO;4;MS;5002704;885711;<MR-8>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;30472115.28;12;6;500270;sim;Campo Grande;50
2019-01-01;2019;RREO;4;MS;5002704;885711;<MR-7>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13170100.08;1;1;500270;sim;Campo Grande;50
2019-02-01;2019;RREO;4;MS;5002704;885711;<MR-6>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;12833254.68;2;1;500270;sim;Campo Grande;50
2019-03-01;2019;RREO;4;MS;5002704;885711;<MR-5>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13752068.85;3;2;500270;sim;Campo Grande;50
2019-04-01;2019;RREO;4;MS;5002704;885711;<MR-4>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;14882750.66;4;2;500270;sim;Campo Grande;50
2019-05-01;2019;RREO;4;MS;5002704;885711;<MR-3>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;14834662.61;5;3;500270;sim;Campo Grande;50
