data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-07-01;RREO;MS;5002704;916001;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);356759433.53;7;2022;4;500270;sim;Campo Grande;50
2022-08-01;RREO;MS;5002704;916001;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);376891681.81;8;2022;4;500270;sim;Campo Grande;50
2022-09-01;RREO;MS;5002704;916001;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);359567439.88;9;2022;5;500270;sim;Campo Grande;50
2022-10-01;RREO;MS;5002704;916001;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);412836470.1;10;2022;5;500270;sim;Campo Grande;50
2022-11-01;RREO;MS;5002704;916001;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);364539556.47;11;2022;6;500270;sim;Campo Grande;50
2022-12-01;RREO;MS;5002704;916001;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);606367948.77;12;2022;6;500270;sim;Campo Grande;50
2023-01-01;RREO;MS;5002704;916001;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);592835867.1;1;2023;1;500270;sim;Campo Grande;50
2023-02-01;RREO;MS;5002704;916001;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);465919821.01;2;2023;1;500270;sim;Campo Grande;50
2023-03-01;RREO;MS;5002704;916001;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);367114741.62;3;2023;2;500270;sim;Campo Grande;50
2023-04-01;RREO;MS;5002704;916001;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);359485900.76;4;2023;2;500270;sim;Campo Grande;50
2023-05-01;RREO;MS;5002704;916001;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);417197937.91;5;2023;3;500270;sim;Campo Grande;50
2023-06-01;RREO;MS;5002704;916001;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);371088533.93;6;2023;3;500270;sim;Campo Grande;50
2022-07-01;RREO;MS;5002704;916001;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;92838547.41;7;2022;4;500270;sim;Campo Grande;50
2022-08-01;RREO;MS;5002704;916001;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;96025674.75;8;2022;4;500270;sim;Campo Grande;50
2022-09-01;RREO;MS;5002704;916001;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;101909748.85;9;2022;5;500270;sim;Campo Grande;50
2022-10-01;RREO;MS;5002704;916001;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;78683008.25;10;2022;5;500270;sim;Campo Grande;50
2022-11-01;RREO;MS;5002704;916001;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;99339790.44;11;2022;6;500270;sim;Campo Grande;50
2022-12-01;RREO;MS;5002704;916001;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;232349919.82;12;2022;6;500270;sim;Campo Grande;50
2023-01-01;RREO;MS;5002704;916001;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;329149789.83;1;2023;1;500270;sim;Campo Grande;50
2023-02-01;RREO;MS;5002704;916001;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;102769651.6;2;2023;1;500270;sim;Campo Grande;50
2023-03-01;RREO;MS;5002704;916001;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;100361805.07;3;2023;2;500270;sim;Campo Grande;50
2023-04-01;RREO;MS;5002704;916001;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;95744843.99;4;2023;2;500270;sim;Campo Grande;50
2023-05-01;RREO;MS;5002704;916001;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;111257184.86;5;2023;3;500270;sim;Campo Grande;50
2023-06-01;RREO;MS;5002704;916001;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;97149709.79;6;2023;3;500270;sim;Campo Grande;50
2022-07-01;RREO;MS;5002704;916001;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;21958199.81;7;2022;4;500270;sim;Campo Grande;50
2022-08-01;RREO;MS;5002704;916001;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;22789014.16;8;2022;4;500270;sim;Campo Grande;50
2022-09-01;RREO;MS;5002704;916001;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;21157952.03;9;2022;5;500270;sim;Campo Grande;50
2022-10-01;RREO;MS;5002704;916001;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;18168342.71;10;2022;5;500270;sim;Campo Grande;50
2022-11-01;RREO;MS;5002704;916001;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;23172703.49;11;2022;6;500270;sim;Campo Grande;50
2022-12-01;RREO;MS;5002704;916001;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;91974098.94;12;2022;6;500270;sim;Campo Grande;50
2023-01-01;RREO;MS;5002704;916001;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;253715819.61;1;2023;1;500270;sim;Campo Grande;50
2023-02-01;RREO;MS;5002704;916001;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;26002560.32;2;2023;1;500270;sim;Campo Grande;50
2023-03-01;RREO;MS;5002704;916001;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;25308259.81;3;2023;2;500270;sim;Campo Grande;50
2023-04-01;RREO;MS;5002704;916001;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;21005265.14;4;2023;2;500270;sim;Campo Grande;50
2023-05-01;RREO;MS;5002704;916001;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;32544041.28;5;2023;3;500270;sim;Campo Grande;50
2023-06-01;RREO;MS;5002704;916001;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;18717263.35;6;2023;3;500270;sim;Campo Grande;50
2022-07-01;RREO;MS;5002704;916001;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;41620451.65;7;2022;4;500270;sim;Campo Grande;50
2022-08-01;RREO;MS;5002704;916001;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;42494334.07;8;2022;4;500270;sim;Campo Grande;50
2022-09-01;RREO;MS;5002704;916001;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;44339212.53;9;2022;5;500270;sim;Campo Grande;50
2022-10-01;RREO;MS;5002704;916001;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;43510567.65;10;2022;5;500270;sim;Campo Grande;50
2022-11-01;RREO;MS;5002704;916001;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;45944642.1;11;2022;6;500270;sim;Campo Grande;50
2022-12-01;RREO;MS;5002704;916001;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;52810824.02;12;2022;6;500270;sim;Campo Grande;50
2023-01-01;RREO;MS;5002704;916001;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;43744630.94;1;2023;1;500270;sim;Campo Grande;50
2023-02-01;RREO;MS;5002704;916001;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;39690733.28;2;2023;1;500270;sim;Campo Grande;50
2023-03-01;RREO;MS;5002704;916001;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;41730369.38;3;2023;2;500270;sim;Campo Grande;50
2023-04-01;RREO;MS;5002704;916001;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;44142434.3;4;2023;2;500270;sim;Campo Grande;50
2023-05-01;RREO;MS;5002704;916001;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;46005776.99;5;2023;3;500270;sim;Campo Grande;50
2023-06-01;RREO;MS;5002704;916001;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;47121708.81;6;2023;3;500270;sim;Campo Grande;50
2022-07-01;RREO;MS;5002704;916001;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;7504568.83;7;2022;4;500270;sim;Campo Grande;50
2022-08-01;RREO;MS;5002704;916001;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;8677523.24;8;2022;4;500270;sim;Campo Grande;50
2022-09-01;RREO;MS;5002704;916001;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;7845040.6;9;2022;5;500270;sim;Campo Grande;50
2022-10-01;RREO;MS;5002704;916001;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;7598871.23;10;2022;5;500270;sim;Campo Grande;50
2022-11-01;RREO;MS;5002704;916001;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;9040898.51;11;2022;6;500270;sim;Campo Grande;50
2022-12-01;RREO;MS;5002704;916001;<MR-6>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;16778874.75;12;2022;6;500270;sim;Campo Grande;50
2023-01-01;RREO;MS;5002704;916001;<MR-5>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;8684124.53;1;2023;1;500270;sim;Campo Grande;50
2023-02-01;RREO;MS;5002704;916001;<MR-4>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;6847718.98;2;2023;1;500270;sim;Campo Grande;50
2023-03-01;RREO;MS;5002704;916001;<MR-3>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;8336619.87;3;2023;2;500270;sim;Campo Grande;50
2023-04-01;RREO;MS;5002704;916001;<MR-2>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;7639557.57;4;2023;2;500270;sim;Campo Grande;50
2023-05-01;RREO;MS;5002704;916001;<MR-1>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;9179341.33;5;2023;3;500270;sim;Campo Grande;50
2023-06-01;RREO;MS;5002704;916001;<MR>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;8243656.52;6;2023;3;500270;sim;Campo Grande;50
2022-07-01;RREO;MS;5002704;916001;<MR-11>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;19155918.27;7;2022;4;500270;sim;Campo Grande;50
2022-08-01;RREO;MS;5002704;916001;<MR-10>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;19500101.17;8;2022;4;500270;sim;Campo Grande;50
2022-09-01;RREO;MS;5002704;916001;<MR-9>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;26312016.63;9;2022;5;500270;sim;Campo Grande;50
2022-10-01;RREO;MS;5002704;916001;<MR-8>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;7319269.65;10;2022;5;500270;sim;Campo Grande;50
2022-11-01;RREO;MS;5002704;916001;<MR-7>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;18847463.03;11;2022;6;500270;sim;Campo Grande;50
