data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2017-03-01;2018;RREO;1;PR;4106902;1893997;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);685574724.17;3;2;410690;sim;Curitiba;41
2017-04-01;2018;RREO;1;PR;4106902;1893997;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);522559337.17;4;2;410690;sim;Curitiba;41
2017-05-01;2018;RREO;1;PR;4106902;1893997;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);575073255.72;5;3;410690;sim;Curitiba;41
2017-06-01;2018;RREO;1;PR;4106902;1893997;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);537357486.41;6;3;410690;sim;Curitiba;41
2017-07-01;2018;RREO;1;PR;4106902;1893997;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);583447432.0;7;4;410690;sim;Curitiba;41
2017-08-01;2018;RREO;1;PR;4106902;1893997;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);595483947.63;8;4;410690;sim;Curitiba;41
2017-09-01;2018;RREO;1;PR;4106902;1893997;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);576980974.97;9;5;410690;sim;Curitiba;41
2017-10-01;2018;RREO;1;PR;4106902;1893997;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);563369071.69;10;5;410690;sim;Curitiba;41
2017-11-01;2018;RREO;1;PR;4106902;1893997;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);595676995.41;11;6;410690;sim;Curitiba;41
2017-12-01;2018;RREO;1;PR;4106902;1893997;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);666371311.8;12;6;410690;sim;Curitiba;41
2018-01-01;2018;RREO;1;PR;4106902;1893997;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);817594220.02;1;1;410690;sim;Curitiba;41
