data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-09-01;RREO;PR;4106902;1963726;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);727879501.48;9;2021;5;410690;sim;Curitiba;41
2021-10-01;RREO;PR;4106902;1963726;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);704171831.56;10;2021;5;410690;sim;Curitiba;41
2021-11-01;RREO;PR;4106902;1963726;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);790947003.56;11;2021;6;410690;sim;Curitiba;41
2021-12-01;RREO;PR;4106902;1963726;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);916097072.87;12;2021;6;410690;sim;Curitiba;41
2022-01-01;RREO;PR;4106902;1963726;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);980945377.46;1;2022;1;410690;sim;Curitiba;41
2022-02-01;RREO;PR;4106902;1963726;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1124178530.56;2;2022;1;410690;sim;Curitiba;41
2022-03-01;RREO;PR;4106902;1963726;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);890223820.15;3;2022;2;410690;sim;Curitiba;41
2022-04-01;RREO;PR;4106902;1963726;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);805809992.05;4;2022;2;410690;sim;Curitiba;41
2022-05-01;RREO;PR;4106902;1963726;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);888531911.57;5;2022;3;410690;sim;Curitiba;41
2022-06-01;RREO;PR;4106902;1963726;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);791666493.57;6;2022;3;410690;sim;Curitiba;41
2022-07-01;RREO;PR;4106902;1963726;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);786666548.61;7;2022;4;410690;sim;Curitiba;41
2022-08-01;RREO;PR;4106902;1963726;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);882487928.6;8;2022;4;410690;sim;Curitiba;41
2021-09-01;RREO;PR;4106902;1963726;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;297208396.61;9;2021;5;410690;sim;Curitiba;41
2021-10-01;RREO;PR;4106902;1963726;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;294748027.28;10;2021;5;410690;sim;Curitiba;41
2021-11-01;RREO;PR;4106902;1963726;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;313741894.69;11;2021;6;410690;sim;Curitiba;41
2021-12-01;RREO;PR;4106902;1963726;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;270024330.27;12;2021;6;410690;sim;Curitiba;41
2022-01-01;RREO;PR;4106902;1963726;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;345711570.97;1;2022;1;410690;sim;Curitiba;41
2022-02-01;RREO;PR;4106902;1963726;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;621655315.85;2;2022;1;410690;sim;Curitiba;41
2022-03-01;RREO;PR;4106902;1963726;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;338171502.7;3;2022;2;410690;sim;Curitiba;41
2022-04-01;RREO;PR;4106902;1963726;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;310675903.71;4;2022;2;410690;sim;Curitiba;41
2022-05-01;RREO;PR;4106902;1963726;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;319951984.72;5;2022;3;410690;sim;Curitiba;41
2022-06-01;RREO;PR;4106902;1963726;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;322004004.09;6;2022;3;410690;sim;Curitiba;41
2022-07-01;RREO;PR;4106902;1963726;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;314163109.88;7;2022;4;410690;sim;Curitiba;41
2022-08-01;RREO;PR;4106902;1963726;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;333671563.09;8;2022;4;410690;sim;Curitiba;41
2021-09-01;RREO;PR;4106902;1963726;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;61119735.14;9;2021;5;410690;sim;Curitiba;41
2021-10-01;RREO;PR;4106902;1963726;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;59411134.33;10;2021;5;410690;sim;Curitiba;41
2021-11-01;RREO;PR;4106902;1963726;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;57846572.98;11;2021;6;410690;sim;Curitiba;41
2021-12-01;RREO;PR;4106902;1963726;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;21656402.66;12;2021;6;410690;sim;Curitiba;41
2022-01-01;RREO;PR;4106902;1963726;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;87465991.18;1;2022;1;410690;sim;Curitiba;41
2022-02-01;RREO;PR;4106902;1963726;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;365161405.56;2;2022;1;410690;sim;Curitiba;41
