data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2018-07-01;2019;RREO;3;DF;53;2974703;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2263239546.33;7;4;53;sim;Distrito Federal;53
2018-08-01;2019;RREO;3;DF;53;2974703;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2167275577.1;8;4;53;sim;Distrito Federal;53
2018-09-01;2019;RREO;3;DF;53;2974703;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2153241194.17;9;5;53;sim;Distrito Federal;53
2018-10-01;2019;RREO;3;DF;53;2974703;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1962486086.71;10;5;53;sim;Distrito Federal;53
2018-11-01;2019;RREO;3;DF;53;2974703;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2266974554.27;11;6;53;sim;Distrito Federal;53
2018-12-01;2019;RREO;3;DF;53;2974703;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2580666282.67;12;6;53;sim;Distrito Federal;53
2019-01-01;2019;RREO;3;DF;53;2974703;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1969064890.12;1;1;53;sim;Distrito Federal;53
2019-02-01;2019;RREO;3;DF;53;2974703;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2147457288.74;2;1;53;sim;Distrito Federal;53
2019-03-01;2019;RREO;3;DF;53;2974703;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2097327973.82;3;2;53;sim;Distrito Federal;53
2019-04-01;2019;RREO;3;DF;53;2974703;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2214928191.99;4;2;53;sim;Distrito Federal;53
2019-05-01;2019;RREO;3;DF;53;2974703;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2218689568.4;5;3;53;sim;Distrito Federal;53
2019-06-01;2019;RREO;3;DF;53;2974703;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2488653915.99;6;3;53;sim;Distrito Federal;53
2018-07-01;2019;RREO;3;DF;53;2974703;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1346791311.34;7;4;53;sim;Distrito Federal;53
2018-08-01;2019;RREO;3;DF;53;2974703;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1292056267.28;8;4;53;sim;Distrito Federal;53
2018-09-01;2019;RREO;3;DF;53;2974703;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1326652758.74;9;5;53;sim;Distrito Federal;53
2018-10-01;2019;RREO;3;DF;53;2974703;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1228220605.82;10;5;53;sim;Distrito Federal;53
2018-11-01;2019;RREO;3;DF;53;2974703;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1362178510.38;11;6;53;sim;Distrito Federal;53
2018-12-01;2019;RREO;3;DF;53;2974703;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1433968967.96;12;6;53;sim;Distrito Federal;53
2019-01-01;2019;RREO;3;DF;53;2974703;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1287399131.11;1;1;53;sim;Distrito Federal;53
2019-02-01;2019;RREO;3;DF;53;2974703;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1431633609.7;2;1;53;sim;Distrito Federal;53
