data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-03-01;RREO;DF;53;3094325;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2460585122.03;3;2021;2;53;sim;Distrito Federal;53
2021-04-01;RREO;DF;53;3094325;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2397734130.49;4;2021;2;53;sim;Distrito Federal;53
2021-05-01;RREO;DF;53;3094325;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2909507418.24;5;2021;3;53;sim;Distrito Federal;53
2021-06-01;RREO;DF;53;3094325;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2763748228.2;6;2021;3;53;sim;Distrito Federal;53
2021-07-01;RREO;DF;53;3094325;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2606496133.42;7;2021;4;53;sim;Distrito Federal;53
2021-08-01;RREO;DF;53;3094325;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2437432725.73;8;2021;4;53;sim;Distrito Federal;53
2021-09-01;RREO;DF;53;3094325;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3062284726.14;9;2021;5;53;sim;Distrito Federal;53
2021-10-01;RREO;DF;53;3094325;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3230491132.22;10;2021;5;53;sim;Distrito Federal;53
2021-11-01;RREO;DF;53;3094325;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2498753787.63;11;2021;6;53;sim;Distrito Federal;53
2021-12-01;RREO;DF;53;3094325;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3287509438.38;12;2021;6;53;sim;Distrito Federal;53
2022-01-01;RREO;DF;53;3094325;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2599016963.88;1;2022;1;53;sim;Distrito Federal;53
2022-02-01;RREO;DF;53;3094325;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3154331313.55;2;2022;1;53;sim;Distrito Federal;53
2021-03-01;RREO;DF;53;3094325;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1553644976.14;3;2021;2;53;sim;Distrito Federal;53
2021-04-01;RREO;DF;53;3094325;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1461012154.53;4;2021;2;53;sim;Distrito Federal;53
2021-05-01;RREO;DF;53;3094325;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1923059099.44;5;2021;3;53;sim;Distrito Federal;53
2021-06-01;RREO;DF;53;3094325;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1513678709.46;6;2021;3;53;sim;Distrito Federal;53
2021-07-01;RREO;DF;53;3094325;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1636733414.97;7;2021;4;53;sim;Distrito Federal;53
