data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2018-03-01;2019;RREO;1;SC;4205407;492977;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);132758327.9;3;2;420540;sim;Florianópolis;42
2018-04-01;2019;RREO;1;SC;4205407;492977;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);130018749.76;4;2;420540;sim;Florianópolis;42
2018-05-01;2019;RREO;1;SC;4205407;492977;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);124417629.92;5;3;420540;sim;Florianópolis;42
2018-06-01;2019;RREO;1;SC;4205407;492977;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);132962743.82;6;3;420540;sim;Florianópolis;42
2018-07-01;2019;RREO;1;SC;4205407;492977;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);130794656.38;7;4;420540;sim;Florianópolis;42
2018-08-01;2019;RREO;1;SC;4205407;492977;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);124917662.51;8;4;420540;sim;Florianópolis;42
2018-09-01;2019;RREO;1;SC;4205407;492977;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);133981554.99;9;5;420540;sim;Florianópolis;42
2018-10-01;2019;RREO;1;SC;4205407;492977;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);138624253.56;10;5;420540;sim;Florianópolis;42
2018-11-01;2019;RREO;1;SC;4205407;492977;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);134488910.44;11;6;420540;sim;Florianópolis;42
2018-12-01;2019;RREO;1;SC;4205407;492977;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);171952591.07;12;6;420540;sim;Florianópolis;42
2019-01-01;2019;RREO;1;SC;4205407;492977;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);315036413.45;1;1;420540;sim;Florianópolis;42
2019-02-01;2019;RREO;1;SC;4205407;492977;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);154150550.9;2;1;420540;sim;Florianópolis;42
2018-03-01;2019;RREO;1;SC;4205407;492977;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;65312805.82;3;2;420540;sim;Florianópolis;42
2018-04-01;2019;RREO;1;SC;4205407;492977;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;59042968.06;4;2;420540;sim;Florianópolis;42
2018-05-01;2019;RREO;1;SC;4205407;492977;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;51379835.21;5;3;420540;sim;Florianópolis;42
2018-06-01;2019;RREO;1;SC;4205407;492977;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;66170401.0;6;3;420540;sim;Florianópolis;42
2018-07-01;2019;RREO;1;SC;4205407;492977;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;53631256.78;7;4;420540;sim;Florianópolis;42
2018-08-01;2019;RREO;1;SC;4205407;492977;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;56389875.89;8;4;420540;sim;Florianópolis;42
2018-09-01;2019;RREO;1;SC;4205407;492977;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;65133057.49;9;5;420540;sim;Florianópolis;42
2018-10-01;2019;RREO;1;SC;4205407;492977;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;70975302.9;10;5;420540;sim;Florianópolis;42
2018-11-01;2019;RREO;1;SC;4205407;492977;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;65812516.25;11;6;420540;sim;Florianópolis;42
