data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-11-01;RREO;SC;4205407;516524;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);163675771.25;11;2021;6;420540;sim;Florianópolis;42
2021-12-01;RREO;SC;4205407;516524;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);229017325.81;12;2021;6;420540;sim;Florianópolis;42
2022-01-01;RREO;SC;4205407;516524;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);446414766.99;1;2022;1;420540;sim;Florianópolis;42
2022-02-01;RREO;SC;4205407;516524;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);207759694.95;2;2022;1;420540;sim;Florianópolis;42
2022-03-01;RREO;SC;4205407;516524;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);253591248.93;3;2022;2;420540;sim;Florianópolis;42
2022-04-01;RREO;SC;4205407;516524;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);203541439.39;4;2022;2;420540;sim;Florianópolis;42
2022-05-01;RREO;SC;4205407;516524;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);203143081.37;5;2022;3;420540;sim;Florianópolis;42
2022-06-01;RREO;SC;4205407;516524;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);200005451.57;6;2022;3;420540;sim;Florianópolis;42
2022-07-01;RREO;SC;4205407;516524;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);237512966.78;7;2022;4;420540;sim;Florianópolis;42
2022-08-01;RREO;SC;4205407;516524;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);208765820.31;8;2022;4;420540;sim;Florianópolis;42
2022-09-01;RREO;SC;4205407;516524;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);166577840.67;9;2022;5;420540;sim;Florianópolis;42
2022-10-01;RREO;SC;4205407;516524;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);192275921.33;10;2022;5;420540;sim;Florianópolis;42
