data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2018-03-01;2019;RREO;1;CE;2304400;2643247;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);504222382.39;3;2;230440;sim;Fortaleza;23
2018-04-01;2019;RREO;1;CE;2304400;2643247;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);535341854.41;4;2;230440;sim;Fortaleza;23
2018-05-01;2019;RREO;1;CE;2304400;2643247;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);597657677.43;5;3;230440;sim;Fortaleza;23
2018-06-01;2019;RREO;1;CE;2304400;2643247;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);503083380.1;6;3;230440;sim;Fortaleza;23
2018-07-01;2019;RREO;1;CE;2304400;2643247;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);549430648.72;7;4;230440;sim;Fortaleza;23
2018-08-01;2019;RREO;1;CE;2304400;2643247;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);517474678.9;8;4;230440;sim;Fortaleza;23
2018-09-01;2019;RREO;1;CE;2304400;2643247;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);470824458.97;9;5;230440;sim;Fortaleza;23
2018-10-01;2019;RREO;1;CE;2304400;2643247;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);526598942.4;10;5;230440;sim;Fortaleza;23
2018-11-01;2019;RREO;1;CE;2304400;2643247;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);515735972.83;11;6;230440;sim;Fortaleza;23
2018-12-01;2019;RREO;1;CE;2304400;2643247;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);680594959.84;12;6;230440;sim;Fortaleza;23
