data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-05-01;RREO;CE;2304400;2703391;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);826827288.82;5;2022;3;230440;sim;Fortaleza;23
2022-06-01;RREO;CE;2304400;2703391;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);772997067.48;6;2022;3;230440;sim;Fortaleza;23
2022-07-01;RREO;CE;2304400;2703391;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);825700233.43;7;2022;4;230440;sim;Fortaleza;23
2022-08-01;RREO;CE;2304400;2703391;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);789647584.7;8;2022;4;230440;sim;Fortaleza;23
2022-09-01;RREO;CE;2304400;2703391;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);743498871.84;9;2022;5;230440;sim;Fortaleza;23
2022-10-01;RREO;CE;2304400;2703391;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);753105368.02;10;2022;5;230440;sim;Fortaleza;23
2022-11-01;RREO;CE;2304400;2703391;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);772290066.22;11;2022;6;230440;sim;Fortaleza;23
2022-12-01;RREO;CE;2304400;2703391;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1028360501.3;12;2022;6;230440;sim;Fortaleza;23
2023-01-01;RREO;CE;2304400;2703391;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);880118087.49;1;2023;1;230440;sim;Fortaleza;23
2023-02-01;RREO;CE;2304400;2703391;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1123428055.05;2;2023;1;230440;sim;Fortaleza;23
2023-03-01;RREO;CE;2304400;2703391;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);812094646.6;3;2023;2;230440;sim;Fortaleza;23
2023-04-01;RREO;CE;2304400;2703391;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);823833182.43;4;2023;2;230440;sim;Fortaleza;23
2022-05-01;RREO;CE;2304400;2703391;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;196604296.9;5;2022;3;230440;sim;Fortaleza;23
2022-06-01;RREO;CE;2304400;2703391;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;199498215.62;6;2022;3;230440;sim;Fortaleza;23
2022-07-01;RREO;CE;2304400;2703391;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;196372110.46;7;2022;4;230440;sim;Fortaleza;23
2022-08-01;RREO;CE;2304400;2703391;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;221608918.43;8;2022;4;230440;sim;Fortaleza;23
2022-09-01;RREO;CE;2304400;2703391;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;208560154.85;9;2022;5;230440;sim;Fortaleza;23
2022-10-01;RREO;CE;2304400;2703391;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;201444140.57;10;2022;5;230440;sim;Fortaleza;23
2022-11-01;RREO;CE;2304400;2703391;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;204030959.89;11;2022;6;230440;sim;Fortaleza;23
2022-12-01;RREO;CE;2304400;2703391;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;291551238.14;12;2022;6;230440;sim;Fortaleza;23
2023-01-01;RREO;CE;2304400;2703391;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;219220160.62;1;2023;1;230440;sim;Fortaleza;23
2023-02-01;RREO;CE;2304400;2703391;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;426653787.02;2;2023;1;230440;sim;Fortaleza;23
2023-03-01;RREO;CE;2304400;2703391;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;231327456.19;3;2023;2;230440;sim;Fortaleza;23
2023-04-01;RREO;CE;2304400;2703391;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;227625694.44;4;2023;2;230440;sim;Fortaleza;23
2022-05-01;RREO;CE;2304400;2703391;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;42876966.86;5;2022;3;230440;sim;Fortaleza;23
2022-06-01;RREO;CE;2304400;2703391;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;39718058.52;6;2022;3;230440;sim;Fortaleza;23
2022-07-01;RREO;CE;2304400;2703391;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;39808095.85;7;2022;4;230440;sim;Fortaleza;23
2022-08-01;RREO;CE;2304400;2703391;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;41078204.76;8;2022;4;230440;sim;Fortaleza;23
2022-09-01;RREO;CE;2304400;2703391;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;38585171.27;9;2022;5;230440;sim;Fortaleza;23
2022-10-01;RREO;CE;2304400;2703391;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;37098983.9;10;2022;5;230440;sim;Fortaleza;23
2022-11-01;RREO;CE;2304400;2703391;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;35183439.68;11;2022;6;230440;sim;Fortaleza;23
2022-12-01;RREO;CE;2304400;2703391;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;39305922.72;12;2022;6;230440;sim;Fortaleza;23
2023-01-01;RREO;CE;2304400;2703391;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;62961412.43;1;2023;1;230440;sim;Fortaleza;23
2023-02-01;RREO;CE;2304400;2703391;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;262859407.75;2;2023;1;230440;sim;Fortaleza;23
2023-03-01;RREO;CE;2304400;2703391;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;52240958.42;3;2023;2;230440;sim;Fortaleza;23
2023-04-01;RREO;CE;2304400;2703391;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;44531631.59;4;2023;2;230440;sim;Fortaleza;23
2022-05-01;RREO;CE;2304400;2703391;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;97427177.17;5;2022;3;230440;sim;Fortaleza;23
2022-06-01;RREO;CE;2304400;2703391;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;98014475.68;6;2022;3;230440;sim;Fortaleza;23
2022-07-01;RREO;CE;2304400;2703391;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;99509323.09;7;2022;4;230440;sim;Fortaleza;23
2022-08-01;RREO;CE;2304400;2703391;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;104104850.82;8;2022;4;230440;sim;Fortaleza;23
2022-09-01;RREO;CE;2304400;2703391;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;108410761.26;9;2022;5;230440;sim;Fortaleza;23
2022-10-01;RREO;CE;2304400;2703391;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;103678947.33;10;2022;5;230440;sim;Fortaleza;23
2022-11-01;RREO;CE;2304400;2703391;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;107780653.8;11;2022;6;230440;sim;Fortaleza;23
2022-12-01;RREO;CE;2304400;2703391;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;129107991.79;12;2022;6;230440;sim;Fortaleza;23
2023-01-01;RREO;CE;2304400;2703391;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;104712664.62;1;2023;1;230440;sim;Fortaleza;23
2023-02-01;RREO;CE;2304400;2703391;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;99726670.84;2;2023;1;230440;sim;Fortaleza;23
2023-03-01;RREO;CE;2304400;2703391;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;108301576.62;3;2023;2;230440;sim;Fortaleza;23
2023-04-01;RREO;CE;2304400;2703391;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;106739076.93;4;2023;2;230440;sim;Fortaleza;23
2022-05-01;RREO;CE;2304400;2703391;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;14156806.24;5;2022;3;230440;sim;Fortaleza;23
2022-06-01;RREO;CE;2304400;2703391;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;12703985.27;6;2022;3;230440;sim;Fortaleza;23
2022-07-01;RREO;CE;2304400;2703391;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;13562999.74;7;2022;4;230440;sim;Fortaleza;23
2022-08-01;RREO;CE;2304400;2703391;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;13453574.47;8;2022;4;230440;sim;Fortaleza;23
2022-09-01;RREO;CE;2304400;2703391;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;13160334.01;9;2022;5;230440;sim;Fortaleza;23
2022-10-01;RREO;CE;2304400;2703391;<MR-6>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;12413773.45;10;2022;5;230440;sim;Fortaleza;23
