data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2020-11-01;2021;RREO;5;GO;5208707;1536097;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);396703286.01;11;6;520870;sim;Goiânia;52
2020-12-01;2021;RREO;5;GO;5208707;1536097;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);695851822.76;12;6;520870;sim;Goiânia;52
2021-01-01;2021;RREO;5;GO;5208707;1536097;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);430990220.69;1;1;520870;sim;Goiânia;52
2021-02-01;2021;RREO;5;GO;5208707;1536097;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);694905942.91;2;1;520870;sim;Goiânia;52
2021-03-01;2021;RREO;5;GO;5208707;1536097;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);474023658.97;3;2;520870;sim;Goiânia;52
2021-04-01;2021;RREO;5;GO;5208707;1536097;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);429849741.41;4;2;520870;sim;Goiânia;52
2021-05-01;2021;RREO;5;GO;5208707;1536097;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);449963745.34;5;3;520870;sim;Goiânia;52
2021-06-01;2021;RREO;5;GO;5208707;1536097;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);454731757.63;6;3;520870;sim;Goiânia;52
2021-07-01;2021;RREO;5;GO;5208707;1536097;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);530662012.93;7;4;520870;sim;Goiânia;52
2021-08-01;2021;RREO;5;GO;5208707;1536097;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);591161406.47;8;4;520870;sim;Goiânia;52
2021-09-01;2021;RREO;5;GO;5208707;1536097;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);517169692.1;9;5;520870;sim;Goiânia;52
2021-10-01;2021;RREO;5;GO;5208707;1536097;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);505820305.67;10;5;520870;sim;Goiânia;52
2020-11-01;2021;RREO;5;GO;5208707;1536097;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;144233597.32;11;6;520870;sim;Goiânia;52
2020-12-01;2021;RREO;5;GO;5208707;1536097;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;218815468.28;12;6;520870;sim;Goiânia;52
2021-01-01;2021;RREO;5;GO;5208707;1536097;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;168469335.82;1;1;520870;sim;Goiânia;52
2021-02-01;2021;RREO;5;GO;5208707;1536097;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;411336881.8;2;1;520870;sim;Goiânia;52
2021-03-01;2021;RREO;5;GO;5208707;1536097;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;167062850.67;3;2;520870;sim;Goiânia;52
2021-04-01;2021;RREO;5;GO;5208707;1536097;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;154114247.08;4;2;520870;sim;Goiânia;52
2021-05-01;2021;RREO;5;GO;5208707;1536097;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;153878964.29;5;3;520870;sim;Goiânia;52
2021-06-01;2021;RREO;5;GO;5208707;1536097;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;156860250.29;6;3;520870;sim;Goiânia;52
2021-07-01;2021;RREO;5;GO;5208707;1536097;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;191746190.92;7;4;520870;sim;Goiânia;52
2021-08-01;2021;RREO;5;GO;5208707;1536097;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;185877105.53;8;4;520870;sim;Goiânia;52
2021-09-01;2021;RREO;5;GO;5208707;1536097;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;193229131.56;9;5;520870;sim;Goiânia;52
2021-10-01;2021;RREO;5;GO;5208707;1536097;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;165588357.11;10;5;520870;sim;Goiânia;52
2020-11-01;2021;RREO;5;GO;5208707;1536097;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;37053454.39;11;6;520870;sim;Goiânia;52
2020-12-01;2021;RREO;5;GO;5208707;1536097;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;71903205.22;12;6;520870;sim;Goiânia;52
2021-01-01;2021;RREO;5;GO;5208707;1536097;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;59748618.25;1;1;520870;sim;Goiânia;52
2021-02-01;2021;RREO;5;GO;5208707;1536097;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;302159713.05;2;1;520870;sim;Goiânia;52
2021-03-01;2021;RREO;5;GO;5208707;1536097;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;54184068.37;3;2;520870;sim;Goiânia;52
