data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-03-01;RREO;GO;5208707;1555626;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);474023658.97;3;2021;2;520870;sim;Goiânia;52
2021-04-01;RREO;GO;5208707;1555626;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);429849741.41;4;2021;2;520870;sim;Goiânia;52
2021-05-01;RREO;GO;5208707;1555626;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);449963745.34;5;2021;3;520870;sim;Goiânia;52
2021-06-01;RREO;GO;5208707;1555626;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);454731757.63;6;2021;3;520870;sim;Goiânia;52
2021-07-01;RREO;GO;5208707;1555626;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);530662012.93;7;2021;4;520870;sim;Goiânia;52
2021-08-01;RREO;GO;5208707;1555626;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);591161406.47;8;2021;4;520870;sim;Goiânia;52
2021-09-01;RREO;GO;5208707;1555626;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);517169692.1;9;2021;5;520870;sim;Goiânia;52
2021-10-01;RREO;GO;5208707;1555626;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);505820305.67;10;2021;5;520870;sim;Goiânia;52
2021-11-01;RREO;GO;5208707;1555626;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);571778667.75;11;2021;6;520870;sim;Goiânia;52
2021-12-01;RREO;GO;5208707;1555626;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);611403365.14;12;2021;6;520870;sim;Goiânia;52
2022-01-01;RREO;GO;5208707;1555626;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);566736361.17;1;2022;1;520870;sim;Goiânia;52
2022-02-01;RREO;GO;5208707;1555626;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);775689568.27;2;2022;1;520870;sim;Goiânia;52
2021-03-01;RREO;GO;5208707;1555626;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;167062850.67;3;2021;2;520870;sim;Goiânia;52
