data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2014-09-01;2015;RREO;4;AP;1600303;446757;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);48298503.43;9;5;160030;sim;Macapá;16
2014-10-01;2015;RREO;4;AP;1600303;446757;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);45028107.52;10;5;160030;sim;Macapá;16
2014-11-01;2015;RREO;4;AP;1600303;446757;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);50963241.73;11;6;160030;sim;Macapá;16
2014-12-01;2015;RREO;4;AP;1600303;446757;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);85861192.46;12;6;160030;sim;Macapá;16
2015-01-01;2015;RREO;4;AP;1600303;446757;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);68088097.56;1;1;160030;sim;Macapá;16
2015-02-01;2015;RREO;4;AP;1600303;446757;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);66848994.2;2;1;160030;sim;Macapá;16
2015-03-01;2015;RREO;4;AP;1600303;446757;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);56223890.14;3;2;160030;sim;Macapá;16
2015-04-01;2015;RREO;4;AP;1600303;446757;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);54031230.54;4;2;160030;sim;Macapá;16
2015-05-01;2015;RREO;4;AP;1600303;446757;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);59147961.32;5;3;160030;sim;Macapá;16
2015-06-01;2015;RREO;4;AP;1600303;446757;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);58370218.64;6;3;160030;sim;Macapá;16
2015-07-01;2015;RREO;4;AP;1600303;446757;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);52536414.81;7;4;160030;sim;Macapá;16
2015-08-01;2015;RREO;4;AP;1600303;446757;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);51485689.57;8;4;160030;sim;Macapá;16
2014-09-01;2015;RREO;4;AP;1600303;446757;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;6995456.26;9;5;160030;sim;Macapá;16
2014-10-01;2015;RREO;4;AP;1600303;446757;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;6417444.57;10;5;160030;sim;Macapá;16
2014-11-01;2015;RREO;4;AP;1600303;446757;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;5144984.43;11;6;160030;sim;Macapá;16
2014-12-01;2015;RREO;4;AP;1600303;446757;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;15878783.17;12;6;160030;sim;Macapá;16
2015-01-01;2015;RREO;4;AP;1600303;446757;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;7175234.03;1;1;160030;sim;Macapá;16
