data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-09-01;RREO;AL;2704302;1031597;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);231827992.57;9;2021;5;270430;sim;Maceió;27
2021-10-01;RREO;AL;2704302;1031597;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);225934522.19;10;2021;5;270430;sim;Maceió;27
2021-11-01;RREO;AL;2704302;1031597;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);225798633.74;11;2021;6;270430;sim;Maceió;27
2021-12-01;RREO;AL;2704302;1031597;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);355925169.61;12;2021;6;270430;sim;Maceió;27
2022-01-01;RREO;AL;2704302;1031597;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);230415367.96;1;2022;1;270430;sim;Maceió;27
2022-02-01;RREO;AL;2704302;1031597;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);272782172.45;2;2022;1;270430;sim;Maceió;27
2022-03-01;RREO;AL;2704302;1031597;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);279982011.1;3;2022;2;270430;sim;Maceió;27
2022-04-01;RREO;AL;2704302;1031597;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);306703412.97;4;2022;2;270430;sim;Maceió;27
2022-05-01;RREO;AL;2704302;1031597;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);297695828.75;5;2022;3;270430;sim;Maceió;27
2022-06-01;RREO;AL;2704302;1031597;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);302691651.77;6;2022;3;270430;sim;Maceió;27
2022-07-01;RREO;AL;2704302;1031597;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);342731137.1;7;2022;4;270430;sim;Maceió;27
2022-08-01;RREO;AL;2704302;1031597;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);275456645.17;8;2022;4;270430;sim;Maceió;27
2021-09-01;RREO;AL;2704302;1031597;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;57500562.23;9;2021;5;270430;sim;Maceió;27
2021-10-01;RREO;AL;2704302;1031597;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;55185918.67;10;2021;5;270430;sim;Maceió;27
