data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2014-07-01;2015;RREO;3;AM;1302603;2020301;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);312005040.45;7;4;130260;sim;Manaus;13
2014-08-01;2015;RREO;3;AM;1302603;2020301;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);327158427.09;8;4;130260;sim;Manaus;13
2014-09-01;2015;RREO;3;AM;1302603;2020301;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);315771527.4;9;5;130260;sim;Manaus;13
2014-10-01;2015;RREO;3;AM;1302603;2020301;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);305089376.58;10;5;130260;sim;Manaus;13
2014-11-01;2015;RREO;3;AM;1302603;2020301;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);339255294.61;11;6;130260;sim;Manaus;13
2014-12-01;2015;RREO;3;AM;1302603;2020301;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);362462921.56;12;6;130260;sim;Manaus;13
2015-01-01;2015;RREO;3;AM;1302603;2020301;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);331580758.44;1;1;130260;sim;Manaus;13
2015-02-01;2015;RREO;3;AM;1302603;2020301;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);310146432.84;2;1;130260;sim;Manaus;13
2015-03-01;2015;RREO;3;AM;1302603;2020301;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);399729182.71;3;2;130260;sim;Manaus;13
2015-04-01;2015;RREO;3;AM;1302603;2020301;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);336624330.57;4;2;130260;sim;Manaus;13
2015-05-01;2015;RREO;3;AM;1302603;2020301;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);332560708.7;5;3;130260;sim;Manaus;13
2015-06-01;2015;RREO;3;AM;1302603;2020301;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);346687941.54;6;3;130260;sim;Manaus;13
2014-07-01;2015;RREO;3;AM;1302603;2020301;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;68816552.62;7;4;130260;sim;Manaus;13
2014-08-01;2015;RREO;3;AM;1302603;2020301;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;74135898.19;8;4;130260;sim;Manaus;13
2014-09-01;2015;RREO;3;AM;1302603;2020301;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;72542279.56;9;5;130260;sim;Manaus;13
