data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2017-03-01;2018;RREO;1;RN;2408102;877662;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);166876102.6;3;2;240810;sim;Natal;24
2017-04-01;2018;RREO;1;RN;2408102;877662;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);148699992.9;4;2;240810;sim;Natal;24
2017-05-01;2018;RREO;1;RN;2408102;877662;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);176618319.35;5;3;240810;sim;Natal;24
2017-06-01;2018;RREO;1;RN;2408102;877662;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);160230119.95;6;3;240810;sim;Natal;24
2017-07-01;2018;RREO;1;RN;2408102;877662;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);171655558.99;7;4;240810;sim;Natal;24
2017-08-01;2018;RREO;1;RN;2408102;877662;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);163027608.49;8;4;240810;sim;Natal;24
2017-09-01;2018;RREO;1;RN;2408102;877662;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);165846221.1;9;5;240810;sim;Natal;24
2017-10-01;2018;RREO;1;RN;2408102;877662;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);156514526.72;10;5;240810;sim;Natal;24
2017-11-01;2018;RREO;1;RN;2408102;877662;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);159126437.04;11;6;240810;sim;Natal;24
2017-12-01;2018;RREO;1;RN;2408102;877662;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);233543287.54;12;6;240810;sim;Natal;24
2018-01-01;2018;RREO;1;RN;2408102;877662;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);216533455.75;1;1;240810;sim;Natal;24
