data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2016-05-01;2017;RREO;2;TO;1721000;279856;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);88584839.73;5;3;172100;sim;Palmas;17
2016-06-01;2017;RREO;2;TO;1721000;279856;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);81417528.02;6;3;172100;sim;Palmas;17
2016-07-01;2017;RREO;2;TO;1721000;279856;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);75313122.67;7;4;172100;sim;Palmas;17
2016-08-01;2017;RREO;2;TO;1721000;279856;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);78179785.14;8;4;172100;sim;Palmas;17
2016-09-01;2017;RREO;2;TO;1721000;279856;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);71476619.5;9;5;172100;sim;Palmas;17
2016-10-01;2017;RREO;2;TO;1721000;279856;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);70884789.85;10;5;172100;sim;Palmas;17
2016-11-01;2017;RREO;2;TO;1721000;279856;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);88089743.32;11;6;172100;sim;Palmas;17
2016-12-01;2017;RREO;2;TO;1721000;279856;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);135766563.85;12;6;172100;sim;Palmas;17
2017-01-01;2017;RREO;2;TO;1721000;279856;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);75248443.09;1;1;172100;sim;Palmas;17
2017-02-01;2017;RREO;2;TO;1721000;279856;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);92425654.69;2;1;172100;sim;Palmas;17
2017-03-01;2017;RREO;2;TO;1721000;279856;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);92436375.07;3;2;172100;sim;Palmas;17
2017-04-01;2017;RREO;2;TO;1721000;279856;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);97517391.03;4;2;172100;sim;Palmas;17
2016-05-01;2017;RREO;2;TO;1721000;279856;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;14541204.46;5;3;172100;sim;Palmas;17
2016-06-01;2017;RREO;2;TO;1721000;279856;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;14611614.08;6;3;172100;sim;Palmas;17
2016-07-01;2017;RREO;2;TO;1721000;279856;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;13401878.86;7;4;172100;sim;Palmas;17
2016-08-01;2017;RREO;2;TO;1721000;279856;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;12637209.96;8;4;172100;sim;Palmas;17
2016-09-01;2017;RREO;2;TO;1721000;279856;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;13498695.19;9;5;172100;sim;Palmas;17
