data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-01-01;RREO;TO;1721000;313349;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);124858272.31;1;2022;1;172100;sim;Palmas;17
2022-02-01;RREO;TO;1721000;313349;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);155994745.3;2;2022;1;172100;sim;Palmas;17
2022-03-01;RREO;TO;1721000;313349;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);163109424.54;3;2022;2;172100;sim;Palmas;17
2022-04-01;RREO;TO;1721000;313349;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);134153299.52;4;2022;2;172100;sim;Palmas;17
2022-05-01;RREO;TO;1721000;313349;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);150481843.49;5;2022;3;172100;sim;Palmas;17
2022-06-01;RREO;TO;1721000;313349;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);139945780.96;6;2022;3;172100;sim;Palmas;17
2022-07-01;RREO;TO;1721000;313349;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);165878293.89;7;2022;4;172100;sim;Palmas;17
2022-08-01;RREO;TO;1721000;313349;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);151669138.04;8;2022;4;172100;sim;Palmas;17
2022-09-01;RREO;TO;1721000;313349;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);133870861.95;9;2022;5;172100;sim;Palmas;17
2022-10-01;RREO;TO;1721000;313349;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);154363234.23;10;2022;5;172100;sim;Palmas;17
2022-11-01;RREO;TO;1721000;313349;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);157216586.59;11;2022;6;172100;sim;Palmas;17
2022-12-01;RREO;TO;1721000;313349;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);201568667.19;12;2022;6;172100;sim;Palmas;17
2022-01-01;RREO;TO;1721000;313349;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;23504174.79;1;2022;1;172100;sim;Palmas;17
2022-02-01;RREO;TO;1721000;313349;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;34314558.17;2;2022;1;172100;sim;Palmas;17
2022-03-01;RREO;TO;1721000;313349;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;69718189.8;3;2022;2;172100;sim;Palmas;17
2022-04-01;RREO;TO;1721000;313349;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;33093356.29;4;2022;2;172100;sim;Palmas;17
2022-05-01;RREO;TO;1721000;313349;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;34899092.42;5;2022;3;172100;sim;Palmas;17
2022-06-01;RREO;TO;1721000;313349;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;34075391.47;6;2022;3;172100;sim;Palmas;17
2022-07-01;RREO;TO;1721000;313349;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;34178992.15;7;2022;4;172100;sim;Palmas;17
2022-08-01;RREO;TO;1721000;313349;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;43112448.32;8;2022;4;172100;sim;Palmas;17
2022-09-01;RREO;TO;1721000;313349;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;35044549.49;9;2022;5;172100;sim;Palmas;17
2022-10-01;RREO;TO;1721000;313349;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;34100317.09;10;2022;5;172100;sim;Palmas;17
2022-11-01;RREO;TO;1721000;313349;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;35286197.1;11;2022;6;172100;sim;Palmas;17
2022-12-01;RREO;TO;1721000;313349;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;50134826.38;12;2022;6;172100;sim;Palmas;17
2022-01-01;RREO;TO;1721000;313349;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;2230821.94;1;2022;1;172100;sim;Palmas;17
2022-02-01;RREO;TO;1721000;313349;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;4319714.84;2;2022;1;172100;sim;Palmas;17
2022-03-01;RREO;TO;1721000;313349;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;33219944.23;3;2022;2;172100;sim;Palmas;17
2022-04-01;RREO;TO;1721000;313349;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;5102760.82;4;2022;2;172100;sim;Palmas;17
2022-05-01;RREO;TO;1721000;313349;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;5392108.72;5;2022;3;172100;sim;Palmas;17
2022-06-01;RREO;TO;1721000;313349;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;4755023.62;6;2022;3;172100;sim;Palmas;17
2022-07-01;RREO;TO;1721000;313349;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;4982306.71;7;2022;4;172100;sim;Palmas;17
2022-08-01;RREO;TO;1721000;313349;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;5031059.74;8;2022;4;172100;sim;Palmas;17
