data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2018-01-01;2018;RREO;6;RS;4314902;1481019;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);782845746.57;1;1;431490;sim;Porto Alegre;43
2018-02-01;2018;RREO;6;RS;4314902;1481019;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);429464043.77;2;1;431490;sim;Porto Alegre;43
2018-03-01;2018;RREO;6;RS;4314902;1481019;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);465356182.16;3;2;431490;sim;Porto Alegre;43
2018-04-01;2018;RREO;6;RS;4314902;1481019;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);496324669.74;4;2;431490;sim;Porto Alegre;43
2018-05-01;2018;RREO;6;RS;4314902;1481019;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);490788797.08;5;3;431490;sim;Porto Alegre;43
2018-06-01;2018;RREO;6;RS;4314902;1481019;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);437401277.48;6;3;431490;sim;Porto Alegre;43
2018-07-01;2018;RREO;6;RS;4314902;1481019;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);496811992.97;7;4;431490;sim;Porto Alegre;43
2018-08-01;2018;RREO;6;RS;4314902;1481019;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);424937730.11;8;4;431490;sim;Porto Alegre;43
2018-09-01;2018;RREO;6;RS;4314902;1481019;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);428499846.42;9;5;431490;sim;Porto Alegre;43
2018-10-01;2018;RREO;6;RS;4314902;1481019;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);473436901.1;10;5;431490;sim;Porto Alegre;43
2018-11-01;2018;RREO;6;RS;4314902;1481019;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);459476802.22;11;6;431490;sim;Porto Alegre;43
2018-12-01;2018;RREO;6;RS;4314902;1481019;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);806125399.38;12;6;431490;sim;Porto Alegre;43
2018-01-01;2018;RREO;6;RS;4314902;1481019;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;392391606.88;1;1;431490;sim;Porto Alegre;43
2018-02-01;2018;RREO;6;RS;4314902;1481019;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;131669416.16;2;1;431490;sim;Porto Alegre;43
2018-03-01;2018;RREO;6;RS;4314902;1481019;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;165746009.73;3;2;431490;sim;Porto Alegre;43
2018-04-01;2018;RREO;6;RS;4314902;1481019;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;170981263.99;4;2;431490;sim;Porto Alegre;43
2018-05-01;2018;RREO;6;RS;4314902;1481019;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;173120951.11;5;3;431490;sim;Porto Alegre;43
2018-06-01;2018;RREO;6;RS;4314902;1481019;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;168513310.36;6;3;431490;sim;Porto Alegre;43
2018-07-01;2018;RREO;6;RS;4314902;1481019;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;176448892.2;7;4;431490;sim;Porto Alegre;43
2018-08-01;2018;RREO;6;RS;4314902;1481019;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;171841927.22;8;4;431490;sim;Porto Alegre;43
2018-09-01;2018;RREO;6;RS;4314902;1481019;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;163400276.72;9;5;431490;sim;Porto Alegre;43
2018-10-01;2018;RREO;6;RS;4314902;1481019;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;183592770.26;10;5;431490;sim;Porto Alegre;43
