data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-05-01;RREO;RS;4314902;1492530;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);819780245.02;5;2022;3;431490;sim;Porto Alegre;43
2022-06-01;RREO;RS;4314902;1492530;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);632450996.88;6;2022;3;431490;sim;Porto Alegre;43
2022-07-01;RREO;RS;4314902;1492530;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);659813866.47;7;2022;4;431490;sim;Porto Alegre;43
2022-08-01;RREO;RS;4314902;1492530;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);670646836.31;8;2022;4;431490;sim;Porto Alegre;43
2022-09-01;RREO;RS;4314902;1492530;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);591984217.01;9;2022;5;431490;sim;Porto Alegre;43
2022-10-01;RREO;RS;4314902;1492530;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);647018824.08;10;2022;5;431490;sim;Porto Alegre;43
2022-11-01;RREO;RS;4314902;1492530;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);627613214.11;11;2022;6;431490;sim;Porto Alegre;43
2022-12-01;RREO;RS;4314902;1492530;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);952845703.13;12;2022;6;431490;sim;Porto Alegre;43
2023-01-01;RREO;RS;4314902;1492530;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);913243214.87;1;2023;1;431490;sim;Porto Alegre;43
2023-02-01;RREO;RS;4314902;1492530;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);1010844692.79;2;2023;1;431490;sim;Porto Alegre;43
2023-03-01;RREO;RS;4314902;1492530;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);710341451.83;3;2023;2;431490;sim;Porto Alegre;43
2023-04-01;RREO;RS;4314902;1492530;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);766136451.13;4;2023;2;431490;sim;Porto Alegre;43
2022-05-01;RREO;RS;4314902;1492530;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;235947080.62;5;2022;3;431490;sim;Porto Alegre;43
2022-06-01;RREO;RS;4314902;1492530;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;239704403.38;6;2022;3;431490;sim;Porto Alegre;43
2022-07-01;RREO;RS;4314902;1492530;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;236534655.98;7;2022;4;431490;sim;Porto Alegre;43
2022-08-01;RREO;RS;4314902;1492530;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;249986348.2;8;2022;4;431490;sim;Porto Alegre;43
2022-09-01;RREO;RS;4314902;1492530;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;242804239.23;9;2022;5;431490;sim;Porto Alegre;43
2022-10-01;RREO;RS;4314902;1492530;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;246681930.58;10;2022;5;431490;sim;Porto Alegre;43
2022-11-01;RREO;RS;4314902;1492530;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;238642364.67;11;2022;6;431490;sim;Porto Alegre;43
2022-12-01;RREO;RS;4314902;1492530;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;276289905.02;12;2022;6;431490;sim;Porto Alegre;43
2023-01-01;RREO;RS;4314902;1492530;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;397773955.0;1;2023;1;431490;sim;Porto Alegre;43
2023-02-01;RREO;RS;4314902;1492530;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;596430623.63;2;2023;1;431490;sim;Porto Alegre;43
2023-03-01;RREO;RS;4314902;1492530;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;274587781.55;3;2023;2;431490;sim;Porto Alegre;43
2023-04-01;RREO;RS;4314902;1492530;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;248187808.39;4;2023;2;431490;sim;Porto Alegre;43
2022-05-01;RREO;RS;4314902;1492530;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;53074280.24;5;2022;3;431490;sim;Porto Alegre;43
2022-06-01;RREO;RS;4314902;1492530;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;52424827.37;6;2022;3;431490;sim;Porto Alegre;43
2022-07-01;RREO;RS;4314902;1492530;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;47057405.44;7;2022;4;431490;sim;Porto Alegre;43
2022-08-01;RREO;RS;4314902;1492530;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;50842011.39;8;2022;4;431490;sim;Porto Alegre;43
2022-09-01;RREO;RS;4314902;1492530;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;48633023.61;9;2022;5;431490;sim;Porto Alegre;43
2022-10-01;RREO;RS;4314902;1492530;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;48978791.67;10;2022;5;431490;sim;Porto Alegre;43
2022-11-01;RREO;RS;4314902;1492530;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;44917842.51;11;2022;6;431490;sim;Porto Alegre;43
2022-12-01;RREO;RS;4314902;1492530;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;45945990.56;12;2022;6;431490;sim;Porto Alegre;43
2023-01-01;RREO;RS;4314902;1492530;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;155109196.73;1;2023;1;431490;sim;Porto Alegre;43
2023-02-01;RREO;RS;4314902;1492530;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;352696895.69;2;2023;1;431490;sim;Porto Alegre;43
2023-03-01;RREO;RS;4314902;1492530;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;58104811.74;3;2023;2;431490;sim;Porto Alegre;43
2023-04-01;RREO;RS;4314902;1492530;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;51943343.68;4;2023;2;431490;sim;Porto Alegre;43
2022-05-01;RREO;RS;4314902;1492530;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;107758610.36;5;2022;3;431490;sim;Porto Alegre;43
2022-06-01;RREO;RS;4314902;1492530;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;113481126.43;6;2022;3;431490;sim;Porto Alegre;43
2022-07-01;RREO;RS;4314902;1492530;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;113191965.05;7;2022;4;431490;sim;Porto Alegre;43
2022-08-01;RREO;RS;4314902;1492530;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;117439966.07;8;2022;4;431490;sim;Porto Alegre;43
2022-09-01;RREO;RS;4314902;1492530;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;119268454.02;9;2022;5;431490;sim;Porto Alegre;43
