data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2017-09-01;2018;RREO;4;RO;1100205;511219;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);92833108.59;9;5;110020;sim;Porto Velho;11
2017-10-01;2018;RREO;4;RO;1100205;511219;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);102244090.29;10;5;110020;sim;Porto Velho;11
2017-11-01;2018;RREO;4;RO;1100205;511219;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);93160111.02;11;6;110020;sim;Porto Velho;11
2017-12-01;2018;RREO;4;RO;1100205;511219;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);140854586.86;12;6;110020;sim;Porto Velho;11
2018-01-01;2018;RREO;4;RO;1100205;511219;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);122721610.38;1;1;110020;sim;Porto Velho;11
2018-02-01;2018;RREO;4;RO;1100205;511219;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);108470772.69;2;1;110020;sim;Porto Velho;11
2018-03-01;2018;RREO;4;RO;1100205;511219;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);119355532.81;3;2;110020;sim;Porto Velho;11
2018-04-01;2018;RREO;4;RO;1100205;511219;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);114210303.49;4;2;110020;sim;Porto Velho;11
2018-05-01;2018;RREO;4;RO;1100205;511219;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);126591709.98;5;3;110020;sim;Porto Velho;11
2018-06-01;2018;RREO;4;RO;1100205;511219;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);117745935.09;6;3;110020;sim;Porto Velho;11
2018-07-01;2018;RREO;4;RO;1100205;511219;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);145089907.83;7;4;110020;sim;Porto Velho;11
2018-08-01;2018;RREO;4;RO;1100205;511219;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);108984289.22;8;4;110020;sim;Porto Velho;11
2017-09-01;2018;RREO;4;RO;1100205;511219;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;18161835.05;9;5;110020;sim;Porto Velho;11
2017-10-01;2018;RREO;4;RO;1100205;511219;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;19382589.04;10;5;110020;sim;Porto Velho;11
