data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2018-09-01;2019;RREO;4;PE;2611606;1637834;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);341092483.96;9;5;261160;sim;Recife;26
2018-10-01;2019;RREO;4;PE;2611606;1637834;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);354887943.27;10;5;261160;sim;Recife;26
2018-11-01;2019;RREO;4;PE;2611606;1637834;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);354881232.89;11;6;261160;sim;Recife;26
2018-12-01;2019;RREO;4;PE;2611606;1637834;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);427742305.31;12;6;261160;sim;Recife;26
2019-01-01;2019;RREO;4;PE;2611606;1637834;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);418997545.02;1;1;261160;sim;Recife;26
2019-02-01;2019;RREO;4;PE;2611606;1637834;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);647125510.59;2;1;261160;sim;Recife;26
2019-03-01;2019;RREO;4;PE;2611606;1637834;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);393704451.91;3;2;261160;sim;Recife;26
2019-04-01;2019;RREO;4;PE;2611606;1637834;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);404002624.5;4;2;261160;sim;Recife;26
2019-05-01;2019;RREO;4;PE;2611606;1637834;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);404489926.42;5;3;261160;sim;Recife;26
2019-06-01;2019;RREO;4;PE;2611606;1637834;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);371156968.12;6;3;261160;sim;Recife;26
2019-07-01;2019;RREO;4;PE;2611606;1637834;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);408698521.72;7;4;261160;sim;Recife;26
2019-08-01;2019;RREO;4;PE;2611606;1637834;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);395079104.01;8;4;261160;sim;Recife;26
2018-09-01;2019;RREO;4;PE;2611606;1637834;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;142490754.85;9;5;261160;sim;Recife;26
2018-10-01;2019;RREO;4;PE;2611606;1637834;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;148545502.58;10;5;261160;sim;Recife;26
2018-11-01;2019;RREO;4;PE;2611606;1637834;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;145129715.19;11;6;261160;sim;Recife;26
2018-12-01;2019;RREO;4;PE;2611606;1637834;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;134544629.72;12;6;261160;sim;Recife;26
2019-01-01;2019;RREO;4;PE;2611606;1637834;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;151019922.11;1;1;261160;sim;Recife;26
2019-02-01;2019;RREO;4;PE;2611606;1637834;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;318025563.39;2;1;261160;sim;Recife;26
2019-03-01;2019;RREO;4;PE;2611606;1637834;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;145006423.75;3;2;261160;sim;Recife;26
2019-04-01;2019;RREO;4;PE;2611606;1637834;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;149306227.9;4;2;261160;sim;Recife;26
2019-05-01;2019;RREO;4;PE;2611606;1637834;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;165420282.28;5;3;261160;sim;Recife;26
2019-06-01;2019;RREO;4;PE;2611606;1637834;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;152727697.21;6;3;261160;sim;Recife;26
2019-07-01;2019;RREO;4;PE;2611606;1637834;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;155402687.39;7;4;261160;sim;Recife;26
2019-08-01;2019;RREO;4;PE;2611606;1637834;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;173347833.3;8;4;261160;sim;Recife;26
2018-09-01;2019;RREO;4;PE;2611606;1637834;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;29475101.89;9;5;261160;sim;Recife;26
2018-10-01;2019;RREO;4;PE;2611606;1637834;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;30790598.02;10;5;261160;sim;Recife;26
2018-11-01;2019;RREO;4;PE;2611606;1637834;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;30245084.49;11;6;261160;sim;Recife;26
2018-12-01;2019;RREO;4;PE;2611606;1637834;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;9506597.09;12;6;261160;sim;Recife;26
2019-01-01;2019;RREO;4;PE;2611606;1637834;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;32872237.55;1;1;261160;sim;Recife;26
2019-02-01;2019;RREO;4;PE;2611606;1637834;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;144487782.62;2;1;261160;sim;Recife;26
2019-03-01;2019;RREO;4;PE;2611606;1637834;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;35323174.63;3;2;261160;sim;Recife;26
2019-04-01;2019;RREO;4;PE;2611606;1637834;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;36574306.19;4;2;261160;sim;Recife;26
2019-05-01;2019;RREO;4;PE;2611606;1637834;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;35878427.73;5;3;261160;sim;Recife;26
2019-06-01;2019;RREO;4;PE;2611606;1637834;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;34541144.64;6;3;261160;sim;Recife;26
2019-07-01;2019;RREO;4;PE;2611606;1637834;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;36042133.59;7;4;261160;sim;Recife;26
2019-08-01;2019;RREO;4;PE;2611606;1637834;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;34388314.98;8;4;261160;sim;Recife;26
2018-09-01;2019;RREO;4;PE;2611606;1637834;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;74592532.9;9;5;261160;sim;Recife;26
2018-10-01;2019;RREO;4;PE;2611606;1637834;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;73646817.95;10;5;261160;sim;Recife;26
2018-11-01;2019;RREO;4;PE;2611606;1637834;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;74159570.76;11;6;261160;sim;Recife;26
2018-12-01;2019;RREO;4;PE;2611606;1637834;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;76206784.01;12;6;261160;sim;Recife;26
2019-01-01;2019;RREO;4;PE;2611606;1637834;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;77460263.34;1;1;261160;sim;Recife;26
2019-02-01;2019;RREO;4;PE;2611606;1637834;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;70142166.39;2;1;261160;sim;Recife;26
2019-03-01;2019;RREO;4;PE;2611606;1637834;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;67879251.27;3;2;261160;sim;Recife;26
2019-04-01;2019;RREO;4;PE;2611606;1637834;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;70467787.84;4;2;261160;sim;Recife;26
2019-05-01;2019;RREO;4;PE;2611606;1637834;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;74639875.57;5;3;261160;sim;Recife;26
2019-06-01;2019;RREO;4;PE;2611606;1637834;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;76567761.7;6;3;261160;sim;Recife;26
2019-07-01;2019;RREO;4;PE;2611606;1637834;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;72749745.35;7;4;261160;sim;Recife;26
2019-08-01;2019;RREO;4;PE;2611606;1637834;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;75767639.12;8;4;261160;sim;Recife;26
2018-09-01;2019;RREO;4;PE;2611606;1637834;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;7858022.99;9;5;261160;sim;Recife;26
2018-10-01;2019;RREO;4;PE;2611606;1637834;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;9397357.12;10;5;261160;sim;Recife;26
2018-11-01;2019;RREO;4;PE;2611606;1637834;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;8236752.5;11;6;261160;sim;Recife;26
2018-12-01;2019;RREO;4;PE;2611606;1637834;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;7556238.47;12;6;261160;sim;Recife;26
2019-01-01;2019;RREO;4;PE;2611606;1637834;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;7152835.12;1;1;261160;sim;Recife;26
