data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2014-03-01;2015;RREO;1;AC;1200401;363928;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);47755269.23;3;2;120040;sim;Rio Branco;12
2014-04-01;2015;RREO;1;AC;1200401;363928;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);58735925.58;4;2;120040;sim;Rio Branco;12
2014-05-01;2015;RREO;1;AC;1200401;363928;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);72558363.1;5;3;120040;sim;Rio Branco;12
2014-06-01;2015;RREO;1;AC;1200401;363928;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);55993464.64;6;3;120040;sim;Rio Branco;12
2014-07-01;2015;RREO;1;AC;1200401;363928;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);54506964.88;7;4;120040;sim;Rio Branco;12
2014-08-01;2015;RREO;1;AC;1200401;363928;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);60406118.76;8;4;120040;sim;Rio Branco;12
2014-09-01;2015;RREO;1;AC;1200401;363928;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);54826463.8;9;5;120040;sim;Rio Branco;12
2014-10-01;2015;RREO;1;AC;1200401;363928;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);53248138.2;10;5;120040;sim;Rio Branco;12
2014-11-01;2015;RREO;1;AC;1200401;363928;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);57303315.58;11;6;120040;sim;Rio Branco;12
2014-12-01;2015;RREO;1;AC;1200401;363928;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);76372024.11;12;6;120040;sim;Rio Branco;12
2015-01-01;2015;RREO;1;AC;1200401;363928;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);63297649.6;1;1;120040;sim;Rio Branco;12
2015-02-01;2015;RREO;1;AC;1200401;363928;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);68625930.81;2;1;120040;sim;Rio Branco;12
2014-03-01;2015;RREO;1;AC;1200401;363928;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;5633071.14;3;2;120040;sim;Rio Branco;12
2014-04-01;2015;RREO;1;AC;1200401;363928;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;7290471.65;4;2;120040;sim;Rio Branco;12
