data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-01-01;2021;RREO;6;RJ;3304557;6747815;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2332354726.2;1;1;330455;sim;Rio de Janeiro;33
2021-02-01;2021;RREO;6;RJ;3304557;6747815;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3565321991.05;2;1;330455;sim;Rio de Janeiro;33
2021-03-01;2021;RREO;6;RJ;3304557;6747815;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2096324610.61;3;2;330455;sim;Rio de Janeiro;33
2021-04-01;2021;RREO;6;RJ;3304557;6747815;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2041417193.81;4;2;330455;sim;Rio de Janeiro;33
2021-05-01;2021;RREO;6;RJ;3304557;6747815;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2039001078.69;5;3;330455;sim;Rio de Janeiro;33
2021-06-01;2021;RREO;6;RJ;3304557;6747815;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2067819925.7;6;3;330455;sim;Rio de Janeiro;33
2021-07-01;2021;RREO;6;RJ;3304557;6747815;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2264241829.76;7;4;330455;sim;Rio de Janeiro;33
2021-08-01;2021;RREO;6;RJ;3304557;6747815;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);4829030671.57;8;4;330455;sim;Rio de Janeiro;33
2021-09-01;2021;RREO;6;RJ;3304557;6747815;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3058660202.89;9;5;330455;sim;Rio de Janeiro;33
2021-10-01;2021;RREO;6;RJ;3304557;6747815;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2229837287.49;10;5;330455;sim;Rio de Janeiro;33
2021-11-01;2021;RREO;6;RJ;3304557;6747815;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2849917205.01;11;6;330455;sim;Rio de Janeiro;33
2021-12-01;2021;RREO;6;RJ;3304557;6747815;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3257014748.06;12;6;330455;sim;Rio de Janeiro;33
2021-01-01;2021;RREO;6;RJ;3304557;6747815;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1198844237.28;1;1;330455;sim;Rio de Janeiro;33
2021-02-01;2021;RREO;6;RJ;3304557;6747815;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;2310852834.68;2;1;330455;sim;Rio de Janeiro;33
2021-03-01;2021;RREO;6;RJ;3304557;6747815;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;962504543.24;3;2;330455;sim;Rio de Janeiro;33
2021-04-01;2021;RREO;6;RJ;3304557;6747815;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;967876588.89;4;2;330455;sim;Rio de Janeiro;33
2021-05-01;2021;RREO;6;RJ;3304557;6747815;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;957189925.69;5;3;330455;sim;Rio de Janeiro;33
2021-06-01;2021;RREO;6;RJ;3304557;6747815;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;963145418.38;6;3;330455;sim;Rio de Janeiro;33
2021-07-01;2021;RREO;6;RJ;3304557;6747815;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1164914983.92;7;4;330455;sim;Rio de Janeiro;33
2021-08-01;2021;RREO;6;RJ;3304557;6747815;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1012684733.76;8;4;330455;sim;Rio de Janeiro;33
2021-09-01;2021;RREO;6;RJ;3304557;6747815;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1052298553.07;9;5;330455;sim;Rio de Janeiro;33
2021-10-01;2021;RREO;6;RJ;3304557;6747815;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1034412732.07;10;5;330455;sim;Rio de Janeiro;33
2021-11-01;2021;RREO;6;RJ;3304557;6747815;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1001484075.29;11;6;330455;sim;Rio de Janeiro;33
2021-12-01;2021;RREO;6;RJ;3304557;6747815;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1458162529.04;12;6;330455;sim;Rio de Janeiro;33
2021-01-01;2021;RREO;6;RJ;3304557;6747815;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;346861005.31;1;1;330455;sim;Rio de Janeiro;33
2021-02-01;2021;RREO;6;RJ;3304557;6747815;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;1483786855.07;2;1;330455;sim;Rio de Janeiro;33
2021-03-01;2021;RREO;6;RJ;3304557;6747815;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;235087212.22;3;2;330455;sim;Rio de Janeiro;33
2021-04-01;2021;RREO;6;RJ;3304557;6747815;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;214437132.91;4;2;330455;sim;Rio de Janeiro;33
2021-05-01;2021;RREO;6;RJ;3304557;6747815;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;214294536.09;5;3;330455;sim;Rio de Janeiro;33
2021-06-01;2021;RREO;6;RJ;3304557;6747815;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;235426694.34;6;3;330455;sim;Rio de Janeiro;33
2021-07-01;2021;RREO;6;RJ;3304557;6747815;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;233396695.22;7;4;330455;sim;Rio de Janeiro;33
2021-08-01;2021;RREO;6;RJ;3304557;6747815;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;216307093.57;8;4;330455;sim;Rio de Janeiro;33
2021-09-01;2021;RREO;6;RJ;3304557;6747815;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;215053601.53;9;5;330455;sim;Rio de Janeiro;33
2021-10-01;2021;RREO;6;RJ;3304557;6747815;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;217733320.22;10;5;330455;sim;Rio de Janeiro;33
2021-11-01;2021;RREO;6;RJ;3304557;6747815;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;211427083.75;11;6;330455;sim;Rio de Janeiro;33
2021-12-01;2021;RREO;6;RJ;3304557;6747815;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;288687863.81;12;6;330455;sim;Rio de Janeiro;33
2021-01-01;2021;RREO;6;RJ;3304557;6747815;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;607841909.46;1;1;330455;sim;Rio de Janeiro;33
2021-02-01;2021;RREO;6;RJ;3304557;6747815;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;456835419.2;2;1;330455;sim;Rio de Janeiro;33
2021-03-01;2021;RREO;6;RJ;3304557;6747815;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;475059281.05;3;2;330455;sim;Rio de Janeiro;33
2021-04-01;2021;RREO;6;RJ;3304557;6747815;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;494223075.48;4;2;330455;sim;Rio de Janeiro;33
2021-05-01;2021;RREO;6;RJ;3304557;6747815;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;477238601.36;5;3;330455;sim;Rio de Janeiro;33
2021-06-01;2021;RREO;6;RJ;3304557;6747815;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;479043018.18;6;3;330455;sim;Rio de Janeiro;33
2021-07-01;2021;RREO;6;RJ;3304557;6747815;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;678967049.25;7;4;330455;sim;Rio de Janeiro;33
2021-08-01;2021;RREO;6;RJ;3304557;6747815;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;531827878.32;8;4;330455;sim;Rio de Janeiro;33
2021-09-01;2021;RREO;6;RJ;3304557;6747815;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;570366321.83;9;5;330455;sim;Rio de Janeiro;33
2021-10-01;2021;RREO;6;RJ;3304557;6747815;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;548967654.38;10;5;330455;sim;Rio de Janeiro;33
2021-11-01;2021;RREO;6;RJ;3304557;6747815;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;547130828.85;11;6;330455;sim;Rio de Janeiro;33
2021-12-01;2021;RREO;6;RJ;3304557;6747815;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;850276305.31;12;6;330455;sim;Rio de Janeiro;33
2021-01-01;2021;RREO;6;RJ;3304557;6747815;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;75253834.96;1;1;330455;sim;Rio de Janeiro;33
2021-02-01;2021;RREO;6;RJ;3304557;6747815;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;76817531.91;2;1;330455;sim;Rio de Janeiro;33
2021-03-01;2021;RREO;6;RJ;3304557;6747815;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;101922398.86;3;2;330455;sim;Rio de Janeiro;33
2021-04-01;2021;RREO;6;RJ;3304557;6747815;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;95512224.48;4;2;330455;sim;Rio de Janeiro;33
2021-05-01;2021;RREO;6;RJ;3304557;6747815;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;109722985.46;5;3;330455;sim;Rio de Janeiro;33
2021-06-01;2021;RREO;6;RJ;3304557;6747815;<MR-6>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;95555612.16;6;3;330455;sim;Rio de Janeiro;33
2021-07-01;2021;RREO;6;RJ;3304557;6747815;<MR-5>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;100667768.34;7;4;330455;sim;Rio de Janeiro;33
2021-08-01;2021;RREO;6;RJ;3304557;6747815;<MR-4>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;114196019.61;8;4;330455;sim;Rio de Janeiro;33
2021-09-01;2021;RREO;6;RJ;3304557;6747815;<MR-3>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;115411465.38;9;5;330455;sim;Rio de Janeiro;33
2021-10-01;2021;RREO;6;RJ;3304557;6747815;<MR-2>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;118152430.79;10;5;330455;sim;Rio de Janeiro;33
2021-11-01;2021;RREO;6;RJ;3304557;6747815;<MR-1>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;100726221.76;11;6;330455;sim;Rio de Janeiro;33
2021-12-01;2021;RREO;6;RJ;3304557;6747815;<MR>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;103301010.06;12;6;330455;sim;Rio de Janeiro;33
