data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-01-01;RREO;RJ;3304557;6775561;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2522337964.92;1;2022;1;330455;sim;Rio de Janeiro;33
2022-02-01;RREO;RJ;3304557;6775561;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);4483022092.53;2;2022;1;330455;sim;Rio de Janeiro;33
2022-03-01;RREO;RJ;3304557;6775561;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2478394099.26;3;2022;2;330455;sim;Rio de Janeiro;33
2022-04-01;RREO;RJ;3304557;6775561;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2290127425.72;4;2022;2;330455;sim;Rio de Janeiro;33
2022-05-01;RREO;RJ;3304557;6775561;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2919123908.45;5;2022;3;330455;sim;Rio de Janeiro;33
2022-06-01;RREO;RJ;3304557;6775561;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2657389531.87;6;2022;3;330455;sim;Rio de Janeiro;33
2022-07-01;RREO;RJ;3304557;6775561;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3004744277.24;7;2022;4;330455;sim;Rio de Janeiro;33
2022-08-01;RREO;RJ;3304557;6775561;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2359745548.95;8;2022;4;330455;sim;Rio de Janeiro;33
2022-09-01;RREO;RJ;3304557;6775561;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2343843149.12;9;2022;5;330455;sim;Rio de Janeiro;33
2022-10-01;RREO;RJ;3304557;6775561;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2238345545.21;10;2022;5;330455;sim;Rio de Janeiro;33
2022-11-01;RREO;RJ;3304557;6775561;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2326658356.97;11;2022;6;330455;sim;Rio de Janeiro;33
2022-12-01;RREO;RJ;3304557;6775561;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);2722175135.64;12;2022;6;330455;sim;Rio de Janeiro;33
2022-01-01;RREO;RJ;3304557;6775561;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1243661509.73;1;2022;1;330455;sim;Rio de Janeiro;33
2022-02-01;RREO;RJ;3304557;6775561;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;2523363215.25;2;2022;1;330455;sim;Rio de Janeiro;33
2022-03-01;RREO;RJ;3304557;6775561;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1029010465.07;3;2022;2;330455;sim;Rio de Janeiro;33
2022-04-01;RREO;RJ;3304557;6775561;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1085955015.01;4;2022;2;330455;sim;Rio de Janeiro;33
2022-05-01;RREO;RJ;3304557;6775561;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1100737938.25;5;2022;3;330455;sim;Rio de Janeiro;33
2022-06-01;RREO;RJ;3304557;6775561;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1101695012.88;6;2022;3;330455;sim;Rio de Janeiro;33
2022-07-01;RREO;RJ;3304557;6775561;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1074276270.89;7;2022;4;330455;sim;Rio de Janeiro;33
2022-08-01;RREO;RJ;3304557;6775561;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1082881055.64;8;2022;4;330455;sim;Rio de Janeiro;33
2022-09-01;RREO;RJ;3304557;6775561;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1122949910.82;9;2022;5;330455;sim;Rio de Janeiro;33
2022-10-01;RREO;RJ;3304557;6775561;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1117748584.5;10;2022;5;330455;sim;Rio de Janeiro;33
2022-11-01;RREO;RJ;3304557;6775561;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1114435241.41;11;2022;6;330455;sim;Rio de Janeiro;33
2022-12-01;RREO;RJ;3304557;6775561;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;1369972971.47;12;2022;6;330455;sim;Rio de Janeiro;33
2022-01-01;RREO;RJ;3304557;6775561;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;303759735.46;1;2022;1;330455;sim;Rio de Janeiro;33
2022-02-01;RREO;RJ;3304557;6775561;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;1581145060.63;2;2022;1;330455;sim;Rio de Janeiro;33
2022-03-01;RREO;RJ;3304557;6775561;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;265804590.45;3;2022;2;330455;sim;Rio de Janeiro;33
2022-04-01;RREO;RJ;3304557;6775561;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;245589810.62;4;2022;2;330455;sim;Rio de Janeiro;33
