data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2018-05-01;2019;RREO;2;BA;2927408;2857329;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);539084895.93;5;3;292740;sim;Salvador;29
2018-06-01;2019;RREO;2;BA;2927408;2857329;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);476874929.66;6;3;292740;sim;Salvador;29
2018-07-01;2019;RREO;2;BA;2927408;2857329;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);525649255.54;7;4;292740;sim;Salvador;29
2018-08-01;2019;RREO;2;BA;2927408;2857329;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);480276788.25;8;4;292740;sim;Salvador;29
2018-09-01;2019;RREO;2;BA;2927408;2857329;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);454790556.93;9;5;292740;sim;Salvador;29
2018-10-01;2019;RREO;2;BA;2927408;2857329;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);488876555.07;10;5;292740;sim;Salvador;29
2018-11-01;2019;RREO;2;BA;2927408;2857329;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);473687399.35;11;6;292740;sim;Salvador;29
2018-12-01;2019;RREO;2;BA;2927408;2857329;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);649926871.88;12;6;292740;sim;Salvador;29
2019-01-01;2019;RREO;2;BA;2927408;2857329;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);471904506.97;1;1;292740;sim;Salvador;29
2019-02-01;2019;RREO;2;BA;2927408;2857329;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);751498492.81;2;1;292740;sim;Salvador;29
