data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-03-01;RREO;BA;2927408;2900319;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);618695238.0;3;2021;2;292740;sim;Salvador;29
2021-04-01;RREO;BA;2927408;2900319;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);525132046.37;4;2021;2;292740;sim;Salvador;29
2021-05-01;RREO;BA;2927408;2900319;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);591422686.35;5;2021;3;292740;sim;Salvador;29
2021-06-01;RREO;BA;2927408;2900319;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);574979382.53;6;2021;3;292740;sim;Salvador;29
2021-07-01;RREO;BA;2927408;2900319;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);629500266.06;7;2021;4;292740;sim;Salvador;29
2021-08-01;RREO;BA;2927408;2900319;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);646149003.57;8;2021;4;292740;sim;Salvador;29
2021-09-01;RREO;BA;2927408;2900319;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);614951613.89;9;2021;5;292740;sim;Salvador;29
2021-10-01;RREO;BA;2927408;2900319;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);624317295.51;10;2021;5;292740;sim;Salvador;29
2021-11-01;RREO;BA;2927408;2900319;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);661976550.99;11;2021;6;292740;sim;Salvador;29
2021-12-01;RREO;BA;2927408;2900319;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);846090236.13;12;2021;6;292740;sim;Salvador;29
2022-01-01;RREO;BA;2927408;2900319;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);623030590.69;1;2022;1;292740;sim;Salvador;29
2022-02-01;RREO;BA;2927408;2900319;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);983356091.05;2;2022;1;292740;sim;Salvador;29
2021-03-01;RREO;BA;2927408;2900319;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;254194204.25;3;2021;2;292740;sim;Salvador;29
2021-04-01;RREO;BA;2927408;2900319;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;180318446.38;4;2021;2;292740;sim;Salvador;29
2021-05-01;RREO;BA;2927408;2900319;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;192971451.67;5;2021;3;292740;sim;Salvador;29
2021-06-01;RREO;BA;2927408;2900319;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;195237473.4;6;2021;3;292740;sim;Salvador;29
2021-07-01;RREO;BA;2927408;2900319;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;205678212.9;7;2021;4;292740;sim;Salvador;29
2021-08-01;RREO;BA;2927408;2900319;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;235047549.86;8;2021;4;292740;sim;Salvador;29
2021-09-01;RREO;BA;2927408;2900319;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;238835521.44;9;2021;5;292740;sim;Salvador;29
