data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2020-03-01;2021;RREO;1;MA;2111300;1108975;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);252408630.85;3;2;211130;sim;São Luís;21
2020-04-01;2021;RREO;1;MA;2111300;1108975;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);245069747.98;4;2;211130;sim;São Luís;21
2020-05-01;2021;RREO;1;MA;2111300;1108975;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);227081984.92;5;3;211130;sim;São Luís;21
2020-06-01;2021;RREO;1;MA;2111300;1108975;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);270678544.52;6;3;211130;sim;São Luís;21
2020-07-01;2021;RREO;1;MA;2111300;1108975;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);377225935.35;7;4;211130;sim;São Luís;21
2020-08-01;2021;RREO;1;MA;2111300;1108975;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);380592167.94;8;4;211130;sim;São Luís;21
2020-09-01;2021;RREO;1;MA;2111300;1108975;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);293098298.48;9;5;211130;sim;São Luís;21
2020-10-01;2021;RREO;1;MA;2111300;1108975;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);303257848.83;10;5;211130;sim;São Luís;21
2020-11-01;2021;RREO;1;MA;2111300;1108975;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);293352572.71;11;6;211130;sim;São Luís;21
2020-12-01;2021;RREO;1;MA;2111300;1108975;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);378732173.75;12;6;211130;sim;São Luís;21
2021-01-01;2021;RREO;1;MA;2111300;1108975;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);303583347.56;1;1;211130;sim;São Luís;21
2021-02-01;2021;RREO;1;MA;2111300;1108975;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);314533027.72;2;1;211130;sim;São Luís;21
2020-03-01;2021;RREO;1;MA;2111300;1108975;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;58111218.81;3;2;211130;sim;São Luís;21
2020-04-01;2021;RREO;1;MA;2111300;1108975;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;47508513.18;4;2;211130;sim;São Luís;21
2020-05-01;2021;RREO;1;MA;2111300;1108975;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;49909502.54;5;3;211130;sim;São Luís;21
2020-06-01;2021;RREO;1;MA;2111300;1108975;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;60042841.05;6;3;211130;sim;São Luís;21
2020-07-01;2021;RREO;1;MA;2111300;1108975;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;109706365.11;7;4;211130;sim;São Luís;21
2020-08-01;2021;RREO;1;MA;2111300;1108975;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;70354428.84;8;4;211130;sim;São Luís;21
2020-09-01;2021;RREO;1;MA;2111300;1108975;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;84061558.21;9;5;211130;sim;São Luís;21
2020-10-01;2021;RREO;1;MA;2111300;1108975;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;82084797.77;10;5;211130;sim;São Luís;21
2020-11-01;2021;RREO;1;MA;2111300;1108975;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;79868696.7;11;6;211130;sim;São Luís;21
