data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2015-07-01;2016;RREO;3;SP;3550308;11967825;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3361909462.01;7;4;355030;sim;São Paulo;35
2015-08-01;2016;RREO;3;SP;3550308;11967825;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3270804978.63;8;4;355030;sim;São Paulo;35
2015-09-01;2016;RREO;3;SP;3550308;11967825;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3360420861.19;9;5;355030;sim;São Paulo;35
2015-10-01;2016;RREO;3;SP;3550308;11967825;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3307631989.09;10;5;355030;sim;São Paulo;35
2015-11-01;2016;RREO;3;SP;3550308;11967825;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3204278895.2;11;6;355030;sim;São Paulo;35
2015-12-01;2016;RREO;3;SP;3550308;11967825;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);6398688390.82;12;6;355030;sim;São Paulo;35
2016-01-01;2016;RREO;3;SP;3550308;11967825;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);4325664878.59;1;1;355030;sim;São Paulo;35
2016-02-01;2016;RREO;3;SP;3550308;11967825;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);5021252653.38;2;1;355030;sim;São Paulo;35
2016-03-01;2016;RREO;3;SP;3550308;11967825;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);4013368625.74;3;2;355030;sim;São Paulo;35
2016-04-01;2016;RREO;3;SP;3550308;11967825;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3439184963.17;4;2;355030;sim;São Paulo;35
2016-05-01;2016;RREO;3;SP;3550308;11967825;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3791391760.16;5;3;355030;sim;São Paulo;35
2016-06-01;2016;RREO;3;SP;3550308;11967825;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);3748408614.03;6;3;355030;sim;São Paulo;35
2015-07-01;2016;RREO;3;SP;3550308;11967825;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Receita Tributária;1784158015.8;7;4;355030;sim;São Paulo;35
