data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-11-01;RREO;SP;3550308;12396372;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);6547477779.03;11;2021;6;355030;sim;São Paulo;35
2021-12-01;RREO;SP;3550308;12396372;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);6258585127.25;12;2021;6;355030;sim;São Paulo;35
2022-01-01;RREO;SP;3550308;12396372;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);7408727543.99;1;2022;1;355030;sim;São Paulo;35
2022-02-01;RREO;SP;3550308;12396372;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);8274101536.52;2;2022;1;355030;sim;São Paulo;35
2022-03-01;RREO;SP;3550308;12396372;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);7214344056.08;3;2022;2;355030;sim;São Paulo;35
2022-04-01;RREO;SP;3550308;12396372;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);6245059970.19;4;2022;2;355030;sim;São Paulo;35
2022-05-01;RREO;SP;3550308;12396372;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);7181476170.12;5;2022;3;355030;sim;São Paulo;35
2022-06-01;RREO;SP;3550308;12396372;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);6565506766.03;6;2022;3;355030;sim;São Paulo;35
2022-07-01;RREO;SP;3550308;12396372;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);6883873961.49;7;2022;4;355030;sim;São Paulo;35
2022-08-01;RREO;SP;3550308;12396372;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);7001364002.43;8;2022;4;355030;sim;São Paulo;35
2022-09-01;RREO;SP;3550308;12396372;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);6745280923.86;9;2022;5;355030;sim;São Paulo;35
2022-10-01;RREO;SP;3550308;12396372;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);7597014154.46;10;2022;5;355030;sim;São Paulo;35
2021-11-01;RREO;SP;3550308;12396372;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3772777175.2;11;2021;6;355030;sim;São Paulo;35
2021-12-01;RREO;SP;3550308;12396372;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3484660237.14;12;2021;6;355030;sim;São Paulo;35
2022-01-01;RREO;SP;3550308;12396372;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3578974256.41;1;2022;1;355030;sim;São Paulo;35
2022-02-01;RREO;SP;3550308;12396372;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;5849438020.23;2;2022;1;355030;sim;São Paulo;35
2022-03-01;RREO;SP;3550308;12396372;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3928608068.73;3;2022;2;355030;sim;São Paulo;35
2022-04-01;RREO;SP;3550308;12396372;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3667794027.45;4;2022;2;355030;sim;São Paulo;35
2022-05-01;RREO;SP;3550308;12396372;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3783368494.94;5;2022;3;355030;sim;São Paulo;35
2022-06-01;RREO;SP;3550308;12396372;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3812951015.75;6;2022;3;355030;sim;São Paulo;35
2022-07-01;RREO;SP;3550308;12396372;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;4078348551.35;7;2022;4;355030;sim;São Paulo;35
2022-08-01;RREO;SP;3550308;12396372;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3877574838.32;8;2022;4;355030;sim;São Paulo;35
2022-09-01;RREO;SP;3550308;12396372;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3982574701.65;9;2022;5;355030;sim;São Paulo;35
2022-10-01;RREO;SP;3550308;12396372;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;3983404503.65;10;2022;5;355030;sim;São Paulo;35
2021-11-01;RREO;SP;3550308;12396372;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;1053112853.72;11;2021;6;355030;sim;São Paulo;35
2021-12-01;RREO;SP;3550308;12396372;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;331943909.17;12;2021;6;355030;sim;São Paulo;35
2022-01-01;RREO;SP;3550308;12396372;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;502954812.77;1;2022;1;355030;sim;São Paulo;35
2022-02-01;RREO;SP;3550308;12396372;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;3448627188.73;2;2022;1;355030;sim;São Paulo;35
2022-03-01;RREO;SP;3550308;12396372;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;1427361402.61;3;2022;2;355030;sim;São Paulo;35
