data;ano;demonstrativo;periodo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2019-09-01;2020;RREO;4;PI;2211001;864845;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);266632802.74;9;5;221100;sim;Teresina;22
2019-10-01;2020;RREO;4;PI;2211001;864845;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);243458525.82;10;5;221100;sim;Teresina;22
2019-11-01;2020;RREO;4;PI;2211001;864845;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);231353401.3;11;6;221100;sim;Teresina;22
2019-12-01;2020;RREO;4;PI;2211001;864845;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);355726566.51;12;6;221100;sim;Teresina;22
2020-01-01;2020;RREO;4;PI;2211001;864845;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);278476170.16;1;1;221100;sim;Teresina;22
2020-02-01;2020;RREO;4;PI;2211001;864845;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);278329148.2;2;1;221100;sim;Teresina;22
2020-03-01;2020;RREO;4;PI;2211001;864845;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);252996533.1;3;2;221100;sim;Teresina;22
2020-04-01;2020;RREO;4;PI;2211001;864845;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);239939733.73;4;2;221100;sim;Teresina;22
2020-05-01;2020;RREO;4;PI;2211001;864845;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);220299179.76;5;3;221100;sim;Teresina;22
2020-06-01;2020;RREO;4;PI;2211001;864845;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);275249440.0;6;3;221100;sim;Teresina;22
2020-07-01;2020;RREO;4;PI;2211001;864845;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);314354123.87;7;4;221100;sim;Teresina;22
2020-08-01;2020;RREO;4;PI;2211001;864845;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);262601365.44;8;4;221100;sim;Teresina;22
2019-09-01;2020;RREO;4;PI;2211001;864845;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;67484995.05;9;5;221100;sim;Teresina;22
2019-10-01;2020;RREO;4;PI;2211001;864845;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;39342948.0;10;5;221100;sim;Teresina;22
2019-11-01;2020;RREO;4;PI;2211001;864845;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;42898810.67;11;6;221100;sim;Teresina;22
2019-12-01;2020;RREO;4;PI;2211001;864845;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;51416732.05;12;6;221100;sim;Teresina;22
2020-01-01;2020;RREO;4;PI;2211001;864845;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;41575281.4;1;1;221100;sim;Teresina;22
2020-02-01;2020;RREO;4;PI;2211001;864845;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;41172257.74;2;1;221100;sim;Teresina;22
2020-03-01;2020;RREO;4;PI;2211001;864845;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;65463524.61;3;2;221100;sim;Teresina;22
2020-04-01;2020;RREO;4;PI;2211001;864845;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;36765142.15;4;2;221100;sim;Teresina;22
2020-05-01;2020;RREO;4;PI;2211001;864845;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;33844974.32;5;3;221100;sim;Teresina;22
2020-06-01;2020;RREO;4;PI;2211001;864845;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;39993683.02;6;3;221100;sim;Teresina;22
2020-07-01;2020;RREO;4;PI;2211001;864845;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;53076073.39;7;4;221100;sim;Teresina;22
2020-08-01;2020;RREO;4;PI;2211001;864845;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;41834797.46;8;4;221100;sim;Teresina;22
2019-09-01;2020;RREO;4;PI;2211001;864845;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;2658562.08;9;5;221100;sim;Teresina;22
2019-10-01;2020;RREO;4;PI;2211001;864845;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;2122069.47;10;5;221100;sim;Teresina;22
2019-11-01;2020;RREO;4;PI;2211001;864845;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;1340528.81;11;6;221100;sim;Teresina;22
2019-12-01;2020;RREO;4;PI;2211001;864845;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;1840346.9;12;6;221100;sim;Teresina;22
2020-01-01;2020;RREO;4;PI;2211001;864845;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;2276457.31;1;1;221100;sim;Teresina;22
2020-02-01;2020;RREO;4;PI;2211001;864845;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;3270982.76;2;1;221100;sim;Teresina;22
2020-03-01;2020;RREO;4;PI;2211001;864845;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;25970476.76;3;2;221100;sim;Teresina;22
