data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2021-03-01;RREO;PI;2211001;871126;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);260725714.59;3;2021;2;221100;sim;Teresina;22
2021-04-01;RREO;PI;2211001;871126;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);259799663.67;4;2021;2;221100;sim;Teresina;22
2021-05-01;RREO;PI;2211001;871126;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);270635128.16;5;2021;3;221100;sim;Teresina;22
2021-06-01;RREO;PI;2211001;871126;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);285717885.56;6;2021;3;221100;sim;Teresina;22
2021-07-01;RREO;PI;2211001;871126;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);357103195.39;7;2021;4;221100;sim;Teresina;22
2021-08-01;RREO;PI;2211001;871126;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);289329754.68;8;2021;4;221100;sim;Teresina;22
2021-09-01;RREO;PI;2211001;871126;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);287487233.61;9;2021;5;221100;sim;Teresina;22
2021-10-01;RREO;PI;2211001;871126;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);272504633.47;10;2021;5;221100;sim;Teresina;22
2021-11-01;RREO;PI;2211001;871126;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);292936129.96;11;2021;6;221100;sim;Teresina;22
2021-12-01;RREO;PI;2211001;871126;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);361371058.29;12;2021;6;221100;sim;Teresina;22
2022-01-01;RREO;PI;2211001;871126;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);332194330.19;1;2022;1;221100;sim;Teresina;22
2022-02-01;RREO;PI;2211001;871126;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);377573832.47;2;2022;1;221100;sim;Teresina;22
2021-03-01;RREO;PI;2211001;871126;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;38753928.85;3;2021;2;221100;sim;Teresina;22
2021-04-01;RREO;PI;2211001;871126;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;44251004.17;4;2021;2;221100;sim;Teresina;22
2021-05-01;RREO;PI;2211001;871126;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;46585073.13;5;2021;3;221100;sim;Teresina;22
2021-06-01;RREO;PI;2211001;871126;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;56288495.51;6;2021;3;221100;sim;Teresina;22
2021-07-01;RREO;PI;2211001;871126;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;107819077.09;7;2021;4;221100;sim;Teresina;22
2021-08-01;RREO;PI;2211001;871126;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;54690017.71;8;2021;4;221100;sim;Teresina;22
2021-09-01;RREO;PI;2211001;871126;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;57223120.07;9;2021;5;221100;sim;Teresina;22
2021-10-01;RREO;PI;2211001;871126;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;49816017.04;10;2021;5;221100;sim;Teresina;22
2021-11-01;RREO;PI;2211001;871126;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;48450746.18;11;2021;6;221100;sim;Teresina;22
2021-12-01;RREO;PI;2211001;871126;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;69648982.93;12;2021;6;221100;sim;Teresina;22
2022-01-01;RREO;PI;2211001;871126;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;53022481.88;1;2022;1;221100;sim;Teresina;22
2022-02-01;RREO;PI;2211001;871126;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;49007558.65;2;2022;1;221100;sim;Teresina;22
2021-03-01;RREO;PI;2211001;871126;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;985554.1;3;2021;2;221100;sim;Teresina;22
2021-04-01;RREO;PI;2211001;871126;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;1433124.75;4;2021;2;221100;sim;Teresina;22
2021-05-01;RREO;PI;2211001;871126;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;3808432.15;5;2021;3;221100;sim;Teresina;22
2021-06-01;RREO;PI;2211001;871126;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;11309368.62;6;2021;3;221100;sim;Teresina;22
2021-07-01;RREO;PI;2211001;871126;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;55015033.33;7;2021;4;221100;sim;Teresina;22
2021-08-01;RREO;PI;2211001;871126;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;8644341.68;8;2021;4;221100;sim;Teresina;22
2021-09-01;RREO;PI;2211001;871126;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;8929122.39;9;2021;5;221100;sim;Teresina;22
2021-10-01;RREO;PI;2211001;871126;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;5302466.25;10;2021;5;221100;sim;Teresina;22
2021-11-01;RREO;PI;2211001;871126;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;5689232.85;11;2021;6;221100;sim;Teresina;22
2021-12-01;RREO;PI;2211001;871126;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;5638578.33;12;2021;6;221100;sim;Teresina;22
2022-01-01;RREO;PI;2211001;871126;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;2464349.07;1;2022;1;221100;sim;Teresina;22
2022-02-01;RREO;PI;2211001;871126;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;4210327.55;2;2022;1;221100;sim;Teresina;22
2021-03-01;RREO;PI;2211001;871126;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;21968977.41;3;2021;2;221100;sim;Teresina;22
2021-04-01;RREO;PI;2211001;871126;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;23147950.43;4;2021;2;221100;sim;Teresina;22
2021-05-01;RREO;PI;2211001;871126;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;23726610.11;5;2021;3;221100;sim;Teresina;22
2021-06-01;RREO;PI;2211001;871126;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;25363600.31;6;2021;3;221100;sim;Teresina;22
2021-07-01;RREO;PI;2211001;871126;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27021120.84;7;2021;4;221100;sim;Teresina;22
2021-08-01;RREO;PI;2211001;871126;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;26976377.3;8;2021;4;221100;sim;Teresina;22
2021-09-01;RREO;PI;2211001;871126;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27535496.86;9;2021;5;221100;sim;Teresina;22
2021-10-01;RREO;PI;2211001;871126;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;26423764.29;10;2021;5;221100;sim;Teresina;22
2021-11-01;RREO;PI;2211001;871126;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27355435.89;11;2021;6;221100;sim;Teresina;22
2021-12-01;RREO;PI;2211001;871126;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;29778326.48;12;2021;6;221100;sim;Teresina;22
2022-01-01;RREO;PI;2211001;871126;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;27401604.45;1;2022;1;221100;sim;Teresina;22
2022-02-01;RREO;PI;2211001;871126;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;24365563.63;2;2022;1;221100;sim;Teresina;22
2021-03-01;RREO;PI;2211001;871126;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;1801654.36;3;2021;2;221100;sim;Teresina;22
2021-04-01;RREO;PI;2211001;871126;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3749174.59;4;2021;2;221100;sim;Teresina;22
2021-05-01;RREO;PI;2211001;871126;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3546062.88;5;2021;3;221100;sim;Teresina;22
2021-06-01;RREO;PI;2211001;871126;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;2868351.48;6;2021;3;221100;sim;Teresina;22
2021-07-01;RREO;PI;2211001;871126;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3140122.96;7;2021;4;221100;sim;Teresina;22
2021-08-01;RREO;PI;2211001;871126;<MR-6>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3150874.7;8;2021;4;221100;sim;Teresina;22
2021-09-01;RREO;PI;2211001;871126;<MR-5>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4452588.91;9;2021;5;221100;sim;Teresina;22
2021-10-01;RREO;PI;2211001;871126;<MR-4>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3067664.1;10;2021;5;221100;sim;Teresina;22
2021-11-01;RREO;PI;2211001;871126;<MR-3>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3763184.13;11;2021;6;221100;sim;Teresina;22
2021-12-01;RREO;PI;2211001;871126;<MR-2>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4125432.46;12;2021;6;221100;sim;Teresina;22
2022-01-01;RREO;PI;2211001;871126;<MR-1>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4222322.2;1;2022;1;221100;sim;Teresina;22
2022-02-01;RREO;PI;2211001;871126;<MR>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;3722610.05;2;2022;1;221100;sim;Teresina;22
2021-03-01;RREO;PI;2211001;871126;<MR-11>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13130956.45;3;2021;2;221100;sim;Teresina;22
2021-04-01;RREO;PI;2211001;871126;<MR-10>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;14275866.68;4;2021;2;221100;sim;Teresina;22
2021-05-01;RREO;PI;2211001;871126;<MR-9>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;14019559.43;5;2021;3;221100;sim;Teresina;22
2021-06-01;RREO;PI;2211001;871126;<MR-8>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13900260.49;6;2021;3;221100;sim;Teresina;22
2021-07-01;RREO;PI;2211001;871126;<MR-7>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13565682.24;7;2021;4;221100;sim;Teresina;22
2021-08-01;RREO;PI;2211001;871126;<MR-6>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13439279.88;8;2021;4;221100;sim;Teresina;22
2021-09-01;RREO;PI;2211001;871126;<MR-5>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13741486.53;9;2021;5;221100;sim;Teresina;22
2021-10-01;RREO;PI;2211001;871126;<MR-4>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13391143.34;10;2021;5;221100;sim;Teresina;22
2021-11-01;RREO;PI;2211001;871126;<MR-3>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;14873364.39;11;2021;6;221100;sim;Teresina;22
2021-12-01;RREO;PI;2211001;871126;<MR-2>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;23498386.31;12;2021;6;221100;sim;Teresina;22
2022-01-01;RREO;PI;2211001;871126;<MR-1>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;15510984.43;1;2022;1;221100;sim;Teresina;22
2022-02-01;RREO;PI;2211001;871126;<MR>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;13938074.55;2;2022;1;221100;sim;Teresina;22
2021-03-01;RREO;PI;2211001;871126;<MR-11>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;866786.53;3;2021;2;221100;sim;Teresina;22
2021-04-01;RREO;PI;2211001;871126;<MR-10>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;1644887.72;4;2021;2;221100;sim;Teresina;22
2021-05-01;RREO;PI;2211001;871126;<MR-9>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;1484408.56;5;2021;3;221100;sim;Teresina;22
2021-06-01;RREO;PI;2211001;871126;<MR-8>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;2846914.61;6;2021;3;221100;sim;Teresina;22
2021-07-01;RREO;PI;2211001;871126;<MR-7>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;9077117.72;7;2021;4;221100;sim;Teresina;22
2021-08-01;RREO;PI;2211001;871126;<MR-6>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;2479144.15;8;2021;4;221100;sim;Teresina;22
2021-09-01;RREO;PI;2211001;871126;<MR-5>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;2564425.38;9;2021;5;221100;sim;Teresina;22
2021-10-01;RREO;PI;2211001;871126;<MR-4>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;1630979.06;10;2021;5;221100;sim;Teresina;22
2021-11-01;RREO;PI;2211001;871126;<MR-3>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;-3230471.08;11;2021;6;221100;sim;Teresina;22
2021-12-01;RREO;PI;2211001;871126;<MR-2>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;6608259.35;12;2021;6;221100;sim;Teresina;22
2022-01-01;RREO;PI;2211001;871126;<MR-1>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;3423221.73;1;2022;1;221100;sim;Teresina;22
